abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
15.000000,0.000000,1.000000,0.000000,3.000000,0.134533,225.707563,353.656813,-291.478044,1.692917,-1.519167,35.701276,35.782267,29.970342,30.051333
15.000000,0.000000,2.000000,1.000000,3.000000,0.134533,226.486276,352.897855,-291.117802,-0.002083,0.001250,35.826275,35.941434,30.095341,30.210500
30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,151.728385,352.906605,-321.872175,0.580000,0.018750,36.003303,35.923101,30.272369,30.192167
30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,151.969455,352.913688,-321.714304,-0.004583,-0.004583,36.007470,35.939767,30.276536,30.208833
-30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,460.743594,352.778271,-322.524478,-0.509167,-0.275417,35.864970,35.929767,30.134036,30.198833
-30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,460.527766,352.638896,-322.390804,0.001667,-0.003333,35.869970,35.942267,30.139036,30.211333
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,306.049984,352.731813,-280.774778,0.580417,0.182500,36.028101,35.923934,30.297167,30.193000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,306.338526,352.821813,-280.762445,-0.003333,-0.002500,36.035601,35.940601,30.304667,30.209667
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,306.336234,352.822646,-280.764278,-0.007917,-0.000833,36.031434,35.942267,30.300500,30.211333
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,306.331442,352.822021,-280.761945,-0.001667,-0.000417,36.032268,35.944767,30.301334,30.213833
