abs_b_deg,abs_c_deg,probe_tool_number,calibration_offset,rel_center_x_mm,rel_center_y_mm,rel_center_z_mm,abs_center_x_mm,abs_center_y_mm,abs_center_z_mm,x_equator_diam_mm,y_equator_diam_mm,top_contact_z_mm
0.000000,0.000000,3.000000,0.134533,-2.007917,-1.207917,104.777029,306.333197,352.762646,-280.900367,29.709767,29.704766,122.642496
0.000000,0.000000,3.000000,0.134533,-59.501899,37.125175,345.249149,306.367364,352.796396,-280.750433,29.773933,29.673099,363.114616
0.000000,0.000000,3.000000,0.134533,-59.500232,37.123508,345.249915,306.369031,352.794729,-280.749667,29.772267,29.673933,363.115382
0.000000,0.000000,3.000000,0.134533,-59.500232,37.125175,345.249015,306.369031,352.796396,-280.750567,29.768934,29.675599,363.114482
0.000000,90.000000,3.000000,0.134533,-86.953983,11.055591,345.240615,278.915280,326.726812,-280.758967,29.766434,29.691433,363.106082
0.000000,180.000000,3.000000,0.134533,-60.821482,-16.315659,345.262215,305.047781,299.355562,-280.737367,29.767267,29.698099,363.127682
0.000000,270.000000,3.000000,0.134533,-33.417732,9.751425,345.250482,332.451531,325.422646,-280.749100,29.606434,29.683100,363.115949
0.000000,0.000000,3.000000,0.134533,-59.491482,37.120175,345.230415,306.377781,352.791396,-280.769167,29.773100,29.681433,363.095882
0.000000,0.000000,3.000000,0.134533,-59.496066,37.143092,345.247015,306.373197,352.814313,-280.752567,30.164767,30.069766,363.112482
0.000000,0.000000,3.000000,0.134533,-59.504399,37.139342,345.245282,306.364864,352.810563,-280.754300,30.165601,30.068100,363.110749
0.000000,90.000000,3.000000,0.134533,-86.953983,11.080591,345.265215,278.915280,326.751812,-280.734367,30.150600,30.077266,363.130682
0.000000,180.000000,3.000000,0.134533,-60.806065,-16.299409,345.280149,305.063198,299.371812,-280.719433,30.168100,30.081433,363.145616
0.000000,270.000000,3.000000,0.134533,-33.422732,9.777258,345.257582,332.446531,325.448479,-280.742000,30.010600,30.070600,363.123049
0.000000,0.000000,3.000000,0.134533,-59.495649,37.145175,345.245848,306.373614,352.816396,-280.753734,30.163100,30.064766,363.111315
