stage,pose_label,commanded_b_deg,commanded_c_deg,rel_center_x_mm,rel_center_y_mm,rel_center_z_mm,abs_center_x_mm,abs_center_y_mm,abs_center_z_mm,x_equator_diam_mm,y_equator_diam_mm,top_contact_z_mm,notes
baseline,B0_C0_01,,,,,,,,,,,,
baseline,B0_C0_02,,,,,,,,,,,,
baseline,B0_C0_03,,,,,,,,,,,,
c_sweep,B0_C90,,,,,,,,,,,,
c_sweep,B0_C180,,,,,,,,,,,,
c_sweep,B0_C270,,,,,,,,,,,,
c_sweep,B0_C0_repeat,,,,,,,,,,,,
b_sweep,B-45_C0,,,,,,,,,,,,
b_sweep,B0_C0_mid,,,,,,,,,,,,
b_sweep,B+45_C0,,,,,,,,,,,,
b_sweep,B0_C0_repeat,,,,,,,,,,,,
cross_check,B0_C90_repeat,,,,,,,,,,,,
cross_check,B+45_C180,,,,,,,,,,,,
cross_check,B-45_C180,,,,,,,,,,,,
