abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
0.000000,0.000000,1.000000,0.000000,468.821457,323.601925,-836.111280,-0.144231,-0.144231,0.000000,17.828196,17.828196,0.000000,-22.893346,-22.893346,0.000000
0.000000,0.000000,2.000000,1.000000,468.934374,323.636925,-836.113113,-0.031314,-0.031314,0.000000,17.829029,17.829029,0.000000,-22.895179,-22.895179,0.000000
30.000000,0.000000,1.000000,0.000000,480.372052,323.637343,-839.164036,153.966527,153.966526,0.000000,17.686932,17.686932,0.000000,-64.503347,-64.503347,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.109844,-0.189064,-0.189064,0.000000,17.852180,17.852180,0.000000,-22.891910,-22.891910,0.000000
0.000000,0.000000,2.000000,1.000000,468.879124,323.662576,-836.114177,-0.086564,-0.086564,0.000000,17.849680,17.849680,0.000000,-22.896243,-22.896243,0.000000
30.000000,0.000000,1.000000,0.000000,480.326732,323.662576,-839.147263,153.921207,153.921207,0.000000,17.720498,17.720498,0.000000,-64.486573,-64.486573,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.106511,-0.189064,-0.189064,0.000000,17.858847,17.858847,0.000000,-22.888577,-22.888577,0.000000
0.000000,0.000000,2.000000,1.000000,468.864124,323.670076,-836.107511,-0.101564,-0.101564,0.000000,17.858013,17.858013,0.000000,-22.889577,-22.889577,0.000000
30.000000,0.000000,1.000000,0.000000,480.321941,323.669451,-839.128328,153.916415,153.916415,0.000000,17.717373,17.717373,0.000000,-64.467639,-64.467639,0.000000
30.000000,0.000000,2.000000,1.000000,480.317550,323.593617,-839.134049,153.912024,153.912024,0.000000,17.719039,17.719039,0.000000,-64.473360,-64.473360,0.000000
-30.000000,0.000000,1.000000,0.000000,457.443550,323.593617,-839.113739,-154.261481,-154.261481,0.000000,17.938312,17.938312,0.000000,-63.784339,-63.784339,0.000000
-30.000000,0.000000,2.000000,1.000000,457.414660,323.684033,-839.126162,-154.290371,-154.290371,0.000000,17.936229,17.936229,0.000000,-63.796763,-63.796763,0.000000
60.000000,0.000000,1.000000,0.000000,488.665712,323.683200,-847.485413,266.442289,266.442289,0.000000,17.577162,17.577162,0.000000,-177.496366,-177.496366,0.000000
60.000000,0.000000,2.000000,1.000000,488.667832,323.499450,-847.476721,266.444409,266.444409,0.000000,17.576745,17.576745,0.000000,-177.487674,-177.487674,0.000000
-60.000000,0.000000,1.000000,0.000000,448.944076,323.495283,-847.408845,-267.432587,-267.432587,0.000000,17.922482,17.922482,0.000000,-176.261558,-176.261558,0.000000
-60.000000,0.000000,2.000000,1.000000,449.003004,323.619866,-847.279411,-267.373658,-267.373658,0.000000,17.925399,17.925399,0.000000,-176.132124,-176.132124,0.000000
90.000000,0.000000,1.000000,0.000000,491.689497,323.620491,-858.713674,307.354605,307.354604,0.000000,17.521941,17.521941,0.000000,-331.463984,-331.463984,0.000000
90.000000,0.000000,2.000000,1.000000,491.694330,323.462574,-858.914507,307.359438,307.359438,0.000000,17.522358,17.522358,0.000000,-331.664817,-331.664817,0.000000
-90.000000,0.000000,1.000000,0.000000,445.851896,323.462158,-858.916590,-309.082008,-309.082008,0.000000,17.862154,17.862154,0.000000,-330.329480,-330.329480,0.000000
-90.000000,0.000000,1.000000,0.000000,445.859449,323.669451,-858.972978,-309.074455,-309.074455,0.000000,17.860281,17.860281,0.000000,-330.385868,-330.385868,0.000000
-90.000000,0.000000,2.000000,1.000000,445.838782,323.549034,-858.328811,-309.095122,-309.095122,0.000000,17.873197,17.873197,0.000000,-329.741701,-329.741701,0.000000
0.000000,0.000000,1.000000,0.000000,468.704249,323.549868,-836.104136,-0.261439,-0.261439,0.000000,17.850305,17.850305,0.000000,-22.886202,-22.886202,0.000000
0.000000,0.000000,2.000000,1.000000,468.889250,323.661118,-836.107636,-0.076439,-0.076439,0.000000,17.853222,17.853222,0.000000,-22.889702,-22.889702,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.109011,-0.114264,-0.114264,0.000000,17.973313,17.973313,0.000000,-22.867277,-22.867277,0.000000
0.000000,0.000000,2.000000,1.000000,468.874124,323.665909,-836.101678,-0.016764,-0.016764,0.000000,17.972480,17.972480,0.000000,-22.859944,-22.859944,0.000000
30.000000,0.000000,1.000000,0.000000,480.300734,323.663357,-839.180222,153.981702,153.981702,0.000000,17.848108,17.848108,0.000000,-64.440822,-64.440822,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.104011,-0.114264,-0.114264,0.000000,17.982480,17.982480,0.000000,-22.862277,-22.862277,0.000000
0.000000,0.000000,2.000000,1.000000,468.871624,323.672993,-836.101678,-0.019264,-0.019264,0.000000,17.982063,17.982063,0.000000,-22.859944,-22.859944,0.000000
30.000000,0.000000,1.000000,0.000000,480.297831,323.672992,-839.180219,153.978799,153.978799,0.000000,17.831910,17.831910,0.000000,-64.440820,-64.440820,0.000000
30.000000,0.000000,2.000000,1.000000,480.305765,323.633825,-839.192093,153.986733,153.986732,0.000000,17.831076,17.831076,0.000000,-64.452694,-64.452694,0.000000
-30.000000,0.000000,1.000000,0.000000,457.432466,323.633408,-839.176998,-154.238430,-154.238430,0.000000,18.064312,18.064312,0.000000,-63.781049,-63.781049,0.000000
-30.000000,0.000000,2.000000,1.000000,457.456933,323.655491,-839.158621,-154.213963,-154.213963,0.000000,18.062228,18.062228,0.000000,-63.762672,-63.762672,0.000000
60.000000,0.000000,1.000000,0.000000,488.681283,323.654033,-847.533289,266.503511,266.503511,0.000000,17.702532,17.702532,0.000000,-177.448619,-177.448619,0.000000
60.000000,0.000000,2.000000,1.000000,488.695252,323.589866,-847.548444,266.517480,266.517480,0.000000,17.702532,17.702532,0.000000,-177.463774,-177.463774,0.000000
-60.000000,0.000000,1.000000,0.000000,449.099503,323.590074,-847.552282,-267.281336,-267.281335,0.000000,18.053889,18.053889,0.000000,-176.088546,-176.088546,0.000000
-60.000000,0.000000,2.000000,1.000000,449.086581,323.582991,-847.567285,-267.294257,-267.294257,0.000000,18.052639,18.052639,0.000000,-176.103548,-176.103548,0.000000
90.000000,0.000000,1.000000,0.000000,491.813960,323.578773,-858.997144,307.442286,307.442286,0.000000,17.644089,17.644089,0.000000,-331.677449,-331.677449,0.000000
90.000000,0.000000,2.000000,1.000000,491.811293,323.572106,-858.960477,307.439620,307.439620,0.000000,17.644089,17.644089,0.000000,-331.640782,-331.640782,0.000000
-90.000000,0.000000,1.000000,0.000000,445.948859,323.571898,-858.962560,-309.014911,-309.014911,0.000000,17.980568,17.980568,0.000000,-329.668911,-329.668911,0.000000
-90.000000,0.000000,2.000000,1.000000,445.948192,323.503565,-859.018394,-309.015578,-309.015578,0.000000,17.981401,17.981401,0.000000,-329.724744,-329.724744,0.000000
0.000000,0.000000,1.000000,0.000000,468.813659,323.503981,-836.106010,-0.077229,-0.077229,0.000000,17.982219,17.982219,0.000000,-22.864276,-22.864276,0.000000
0.000000,0.000000,2.000000,1.000000,468.892409,323.674815,-836.104510,0.001521,0.001521,0.000000,17.983052,17.983052,0.000000,-22.862776,-22.862776,0.000000
0.000000,180.000000,1.000000,0.000000,468.892250,323.674818,-836.072177,-1.265263,-1.265262,0.000000,-71.382686,-71.382686,0.000000,-22.830443,-22.830443,0.000000
0.000000,180.000000,2.000000,1.000000,468.869076,323.672731,-836.070677,-1.288436,-1.288436,0.000000,-71.386439,-71.386439,0.000000,-22.828943,-22.828943,0.000000
30.000000,180.000000,1.000000,0.000000,457.425376,323.671013,-839.118909,-155.280606,-155.280606,0.000000,-71.408281,-71.408281,0.000000,-64.379509,-64.379509,0.000000
30.000000,180.000000,2.000000,1.000000,457.315928,323.626059,-839.182652,-155.390054,-155.390054,0.000000,-71.406568,-71.406568,0.000000,-64.443253,-64.443253,0.000000
-30.000000,180.000000,1.000000,0.000000,480.236251,323.625573,-839.086111,152.777417,152.777416,0.000000,-71.381114,-71.381114,0.000000,-63.690162,-63.690162,0.000000
-30.000000,180.000000,2.000000,1.000000,480.276992,323.705990,-839.106338,152.818158,152.818158,0.000000,-71.380698,-71.380698,0.000000,-63.710389,-63.710389,0.000000
60.000000,180.000000,1.000000,0.000000,448.948526,323.704903,-847.420899,-267.980399,-267.980399,0.000000,-71.453554,-71.453554,0.000000,-177.336230,-177.336229,0.000000
60.000000,180.000000,2.000000,1.000000,448.864761,323.569070,-847.571953,-268.064164,-268.064164,0.000000,-71.453554,-71.453554,0.000000,-177.487283,-177.487283,0.000000
-60.000000,180.000000,1.000000,0.000000,488.577845,323.569493,-847.505915,265.752332,265.752332,0.000000,-71.381791,-71.381791,0.000000,-176.042178,-176.042178,0.000000
-60.000000,180.000000,2.000000,1.000000,488.569472,323.736992,-847.484035,265.743959,265.743958,0.000000,-71.381791,-71.381791,0.000000,-176.020298,-176.020298,0.000000
90.000000,180.000000,1.000000,0.000000,445.935640,323.736958,-858.915553,-308.964249,-308.964249,0.000000,-71.470494,-71.470494,0.000000,-331.595858,-331.595858,0.000000
90.000000,180.000000,2.000000,1.000000,445.930966,323.553861,-858.948053,-308.968923,-308.968923,0.000000,-71.469423,-71.469423,0.000000,-331.628358,-331.628358,0.000000
-90.000000,180.000000,1.000000,0.000000,491.779393,323.553890,-858.949720,307.485431,307.485430,0.000000,-71.339799,-71.339799,0.000000,-329.656070,-329.656070,0.000000
-90.000000,180.000000,2.000000,1.000000,491.786727,323.808057,-858.965970,307.492764,307.492764,0.000000,-71.340633,-71.340633,0.000000,-329.672320,-329.672320,0.000000
0.000000,180.000000,1.000000,0.000000,468.921259,323.807848,-836.071919,-1.236253,-1.236253,0.000000,-71.377989,-71.377989,0.000000,-22.830185,-22.830185,0.000000
0.000000,180.000000,2.000000,1.000000,468.854176,323.675348,-836.069586,-1.303336,-1.303336,0.000000,-71.377156,-71.377156,0.000000,-22.827852,-22.827852,0.000000
0.000000,90.000000,1.000000,0.000000,468.854176,323.675348,-836.089753,-45.362062,-45.362061,0.000000,-26.065140,-26.065140,0.000000,-22.848019,-22.848019,0.000000
0.000000,90.000000,2.000000,1.000000,468.854594,323.679178,-836.087419,-45.359143,-45.359142,0.000001,-26.061310,-26.061310,0.000000,-22.845685,-22.845685,0.000000
90.000000,90.000000,1.000000,0.000000,468.855687,346.465699,-858.952886,-45.315644,-45.315643,0.000000,281.249572,281.249572,0.000000,-331.633192,-331.633192,0.000000
90.000000,90.000000,2.000000,1.000000,468.880688,346.478032,-859.043720,-45.315644,-45.315643,0.000000,281.261906,281.261906,0.000000,-331.724025,-331.724025,0.000000
-90.000000,90.000000,1.000000,0.000000,468.881104,301.237265,-859.045386,-45.494358,-45.494357,0.000001,-334.433899,-334.433898,0.000000,-329.751737,-329.751737,0.000000
