sequence_id,approach_b_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,x_center_error_mm,y_center_error_mm,x_raw_span_mm,y_raw_span_mm,x_corr_diam_mm,y_corr_diam_mm
1.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.428866,318.172210,-859.756823,0.285760,-0.424583,35.882268,35.926434,30.151334,30.195500
1.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.571427,317.959710,-859.745323,-0.000490,-0.000417,35.888101,35.929767,30.157167,30.198833
2.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.632825,317.958669,-859.744656,0.122574,-0.002083,35.888934,35.931434,30.158000,30.200500
2.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.693597,317.958252,-859.743156,-0.001176,0.001250,35.888101,35.931434,30.157167,30.200500
3.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.632616,317.959919,-859.743323,-0.121740,0.003333,35.888934,35.930601,30.158000,30.199667
3.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.572469,317.960335,-859.745989,0.001593,-0.002500,35.888934,35.930601,30.158000,30.199667
4.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.633033,317.960127,-859.746156,0.120907,-0.000417,35.888934,35.929767,30.158000,30.198833
4.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.693597,317.959919,-859.746323,0.000074,0.000000,35.888934,35.930601,30.158000,30.199667
5.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.633033,317.960752,-859.746489,-0.120907,0.001667,35.888934,35.933934,30.158000,30.203000
5.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.572260,317.960752,-859.747489,-0.000490,-0.001667,35.889768,35.930601,30.158834,30.199667
6.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.632361,317.960752,-859.746822,0.119981,0.000000,35.890786,35.930601,30.159852,30.199667
6.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.694129,317.960752,-859.746989,0.003407,0.000000,35.888934,35.930601,30.158000,30.199667
1.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.491930,318.172627,-859.768490,0.411667,-0.423750,35.880601,35.919767,30.149667,30.188833
1.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.699222,317.960335,-859.748656,0.002917,-0.000833,35.889768,35.930601,30.158834,30.199667
2.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.701722,317.960335,-859.747156,0.005000,0.000000,35.890601,35.928934,30.159667,30.198000
2.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.704014,317.960544,-859.748156,-0.000417,0.000417,35.891434,35.931434,30.160500,30.200500
3.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.702764,317.960335,-859.749990,-0.002500,-0.000417,35.888934,35.931434,30.158000,30.200500
3.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.701930,317.959919,-859.749323,0.000833,-0.000417,35.888934,35.929767,30.158000,30.198833
4.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.703597,317.958252,-859.747823,0.003333,-0.003333,35.888934,35.933934,30.158000,30.203000
4.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.705680,317.957627,-859.747990,0.000833,0.002083,35.888934,35.931434,30.158000,30.200500
5.000000,5.000000,1.000000,0.000000,3.000000,0.134533,357.704430,317.958669,-859.750656,-0.002500,0.002083,35.890601,35.933101,30.159667,30.202167
5.000000,5.000000,2.000000,1.000000,3.000000,0.134533,357.702763,317.959294,-859.749990,-0.000833,-0.000833,35.888934,35.930601,30.158000,30.199667
6.000000,-5.000000,1.000000,0.000000,3.000000,0.134533,357.704222,317.959294,-859.750156,0.002917,0.000000,35.888101,35.930601,30.157167,30.199667
6.000000,-5.000000,2.000000,1.000000,3.000000,0.134533,357.706513,317.958669,-859.751156,0.001667,-0.001250,35.887268,35.929767,30.156334,30.198833
