sequence_id,approach_b_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
1.000000,5.000000,1.000000,0.000000,-182.916870,-0.001670,180.860023,-0.010277,-532784.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
1.000000,5.000000,2.000000,1.000000,-182.916870,-0.001670,180.860023,-0.010277,-532784.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
2.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
2.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
3.000000,5.000000,1.000000,0.000000,-182.916870,-0.001670,180.860023,-0.010277,-532784.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
3.000000,5.000000,2.000000,1.000000,-182.917213,-0.002013,180.860023,-0.010277,-532785.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
4.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
4.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
5.000000,5.000000,1.000000,0.000000,-182.916870,-0.001670,180.860023,-0.010277,-532784.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
5.000000,5.000000,2.000000,1.000000,-182.917213,-0.002013,180.860023,-0.010277,-532785.000000,-526793.000000,13.671875,0.000000,13.671875,0.000000
6.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
6.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,-13.671875,0.000000,-13.671875,0.000000
1.000000,5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
1.000000,5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
3.000000,5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
3.000000,5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
4.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
4.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
5.000000,5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
5.000000,5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
6.000000,-5.000000,1.000000,0.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
6.000000,-5.000000,2.000000,1.000000,-182.894897,0.020303,180.860023,-0.010277,-532720.000000,-526793.000000,0.000000,0.000000,0.000000,0.000000
