abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.765088,323.651966,-858.961487,-0.002917,-0.002500,35.898101,35.938934,30.167167,30.208000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.762796,323.651341,-858.961653,-0.001667,0.001250,35.892267,35.938101,30.161333,30.207167
90.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.700963,323.549258,-858.927903,-0.067500,-0.204167,35.923934,35.945601,30.193000,30.214667
90.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.702463,323.445925,-858.894153,0.000000,-0.002500,35.918934,35.945601,30.188000,30.214667
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.751421,323.552800,-858.957653,0.097917,0.213750,35.894768,35.948101,30.163834,30.217167
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.797046,323.658841,-858.954487,-0.006667,-0.001667,35.883934,35.950601,30.153000,30.219667
-90.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.618046,323.595925,-858.641153,0.626667,-0.125833,35.905601,35.922268,30.174667,30.191334
-90.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.604046,323.534466,-858.327403,0.000833,0.002917,35.905601,35.941434,30.174667,30.210500
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.682379,323.596341,-858.955070,0.156667,0.123750,35.897268,35.941434,30.166334,30.210500
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.763629,323.656966,-858.959403,0.005833,-0.002500,35.897268,35.940601,30.166334,30.209667
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.862468,323.656553,-858.923737,-0.197997,0.000833,35.899928,35.935609,30.168994,30.204675
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.958350,323.654684,-858.923904,0.005913,0.002917,35.898774,35.936434,30.167840,30.205500
90.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.781850,323.532185,-858.895154,-0.057500,0.245000,35.910601,35.940601,30.179667,30.209667
90.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.777016,323.411143,-858.869112,0.005417,-0.002917,35.904767,35.939767,30.173833,30.208833
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.850846,323.525724,-858.923445,-0.147580,-0.229164,35.897108,35.945596,30.166174,30.214662
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.933771,323.640729,-854.821112,-0.018750,-0.000835,34.903421,34.950596,29.172487,29.219662
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.762041,323.671951,-858.956915,-0.029167,-0.011250,35.888934,35.939767,30.158000,30.208833
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.751416,323.665076,-858.956248,0.007917,-0.002500,35.898101,35.943934,30.167167,30.213000
90.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.705416,323.558618,-858.922290,-0.067917,-0.212917,35.911434,35.948101,30.180500,30.217167
90.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.708582,323.452576,-858.888540,0.000417,0.000833,35.914767,35.950601,30.183833,30.219667
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.747124,323.556951,-858.955373,0.077083,0.208750,35.894768,35.946434,30.163834,30.215500
