abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
0.000000,0.000000,1.000000,0.000000,468.766546,323.653216,-836.096020,-0.011658,-0.011658,0.000000,17.937637,17.937637,0.000000,-121.541886,-121.541886,0.000000
0.000000,0.000000,2.000000,1.000000,468.763629,323.650716,-836.096186,-0.014575,-0.014575,0.000000,17.938470,17.938470,0.000000,-121.542052,-121.542052,0.000000
90.000000,0.000000,1.000000,0.000000,491.566430,323.651341,-858.961653,307.419022,307.419021,0.000000,17.605941,17.605941,0.000000,-430.375763,-430.375763,0.000000
90.000000,0.000000,2.000000,1.000000,491.567930,323.447175,-858.894153,307.420522,307.420522,0.000000,17.603441,17.603441,0.000000,-430.308263,-430.308263,0.000000
0.000000,0.000000,1.000000,0.000000,468.702463,323.445925,-836.092186,-0.075741,-0.075742,0.000000,17.951178,17.951178,0.000000,-121.538052,-121.538052,0.000000
0.000000,0.000000,2.000000,1.000000,468.800379,323.659675,-836.089020,0.022175,0.022175,0.000000,17.950762,17.950762,0.000000,-121.534886,-121.534886,0.000000
-90.000000,0.000000,1.000000,0.000000,445.752579,323.658841,-858.954487,-308.993841,-308.993841,0.000000,17.943654,17.943654,0.000000,-429.031177,-429.031177,0.000000
-90.000000,0.000000,2.000000,1.000000,445.738579,323.533008,-858.327820,-309.007841,-309.007841,0.000000,17.956154,17.956154,0.000000,-428.404510,-428.404510,0.000000
0.000000,0.000000,1.000000,0.000000,468.604046,323.534466,-836.089603,-0.174158,-0.174158,0.000000,17.946387,17.946387,0.000000,-121.535469,-121.535469,0.000000
0.000000,0.000000,2.000000,1.000000,468.760713,323.658216,-836.093936,-0.017491,-0.017491,0.000000,17.943470,17.943470,0.000000,-121.539802,-121.539802,0.000000
0.000000,180.000000,1.000000,0.000000,468.763469,323.656971,-836.058270,-1.483127,-1.483127,0.000000,-71.400317,-71.400317,0.000000,-121.504136,-121.504136,0.000000
0.000000,180.000000,2.000000,1.000000,468.961306,323.656142,-836.058437,-1.285290,-1.285290,0.000000,-71.403646,-71.403646,0.000000,-121.504303,-121.504303,0.000000
