abs_b_deg,abs_c_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,-92.894554,90.020646,180.859337,-0.010963,-270575.000000,-526791.000000,0.000000,0.000000,90000000.000000,0.000000
90.000000,0.000000,2.000000,1.000000,-92.894554,90.020646,180.859337,-0.010963,-270575.000000,-526791.000000,0.000000,0.000000,90000000.000000,0.000000
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,-272.894554,-89.979354,180.859337,-0.010963,-794863.000000,-526791.000000,0.000000,0.000000,-90000000.000000,0.000000
-90.000000,0.000000,2.000000,1.000000,-272.894554,-89.979354,180.859337,-0.010963,-794863.000000,-526791.000000,0.000000,0.000000,-90000000.000000,0.000000
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
0.000000,180.000000,1.000000,0.000000,-182.894554,0.020646,0.859680,-180.010620,-532719.000000,-2504.000000,0.000000,-343.322754,0.000000,179999656.677246
0.000000,180.000000,2.000000,1.000000,-182.894554,0.020646,0.859337,-180.010963,-532719.000000,-2503.000000,0.000000,0.000000,0.000000,180000000.000000
90.000000,180.000000,1.000000,0.000000,-92.894554,90.020646,0.859337,-180.010963,-270575.000000,-2503.000000,0.000000,0.000000,90000000.000000,180000000.000000
90.000000,180.000000,2.000000,1.000000,-92.894554,90.020646,0.859337,-180.010963,-270575.000000,-2503.000000,0.000000,0.000000,90000000.000000,180000000.000000
0.000000,180.000000,1.000000,0.000000,-182.894554,0.020646,0.859680,-180.010620,-532719.000000,-2504.000000,0.000000,-343.322754,0.000000,179999656.677246
0.000000,180.000000,2.000000,1.000000,-182.894554,0.020646,0.859337,-180.010963,-532719.000000,-2503.000000,0.000000,343.322754,0.000000,180000343.322754
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
90.000000,0.000000,1.000000,0.000000,-92.894554,90.020646,180.859337,-0.010963,-270575.000000,-526791.000000,0.000000,0.000000,90000000.000000,0.000000
90.000000,0.000000,2.000000,1.000000,-92.894554,90.020646,180.859337,-0.010963,-270575.000000,-526791.000000,0.000000,0.000000,90000000.000000,0.000000
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.859337,-0.010963,-532719.000000,-526791.000000,0.000000,0.000000,0.000000,0.000000
