abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.762666,323.674659,-858.973582,-0.027917,-0.005833,35.893101,35.943934,30.162167,30.213000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.750542,323.672160,-858.978748,0.003670,0.000833,35.896594,35.947267,30.165660,30.216333
90.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.712876,323.568202,-858.942082,-0.073333,-0.207917,35.920601,35.948101,30.189667,30.217167
90.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.715209,323.465494,-858.906248,0.001667,0.002500,35.930601,35.947267,30.199667,30.216333
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.748751,323.567369,-858.983082,0.067083,0.203750,35.894768,35.944767,30.163834,30.213833
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.780417,323.668410,-858.975748,-0.003750,-0.001667,35.903101,35.950601,30.172167,30.219667
-90.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.616417,323.608202,-858.667623,0.616250,-0.120417,35.906434,35.929767,30.175500,30.198833
-90.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.599084,323.550285,-858.358457,0.002083,0.004583,35.911434,35.951434,30.180500,30.220500
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,468.673667,323.617577,-858.978623,0.149167,0.134583,35.890601,35.946434,30.159667,30.215500
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,468.749293,323.685077,-858.976290,0.002083,0.000417,35.898101,35.949767,30.167167,30.218833
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.793254,323.625822,-858.958124,-0.118830,-0.087917,35.934927,35.976434,30.203993,30.245500
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.839714,323.565782,-856.066624,-0.001250,-0.005000,35.431434,35.470601,29.700500,29.739667
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.798663,323.635125,-858.951457,-0.099663,-0.098752,35.926274,35.971430,30.195340,30.240496
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.847420,323.582705,-858.951623,-0.005417,0.001250,35.928101,35.971434,30.197167,30.240500
90.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.797628,323.380872,-858.957873,0.012500,0.099583,35.917267,35.974768,30.186333,30.243834
90.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.747837,323.388205,-858.966832,0.005417,0.000000,35.914767,35.973934,30.183833,30.243000
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.802420,323.482164,-858.956998,0.187917,-0.109167,35.923101,35.970601,30.192167,30.239667
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.858253,323.574247,-858.959665,-0.003750,-0.002500,35.929767,35.970601,30.198833,30.239667
-90.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.849712,324.080247,-858.553415,0.812500,0.017083,35.907267,35.931434,30.176333,30.200500
-90.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.842420,324.059580,-858.148207,-0.002083,-0.002500,35.906434,35.973934,30.175500,30.243000
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,468.845961,323.807080,-858.960040,-0.505000,-0.007083,35.923934,35.959768,30.193000,30.228834
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,468.849295,323.552288,-858.956873,-0.004583,0.000417,35.929767,35.971434,30.198833,30.240500
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.911675,323.613333,-858.945373,-0.125000,-0.122081,35.895281,35.943096,30.164347,30.212162
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.974600,323.673962,-858.943040,-0.001250,0.000833,35.896754,35.940592,30.165820,30.209658
90.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.793100,323.556878,-858.912623,-0.060833,0.234167,35.892267,35.940601,30.161333,30.209667
90.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.783267,323.447087,-858.882832,0.001250,-0.014583,35.894767,35.943101,30.163833,30.212167
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.864309,323.556045,-858.938832,-0.162083,-0.217917,35.888101,35.939767,30.157167,30.208833
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.945976,323.664378,-858.939832,-0.001250,0.001250,35.896434,35.924767,30.165500,30.193833
-90.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.895809,323.756045,-858.625040,0.629583,-0.183333,35.921434,35.923934,30.190500,30.193000
-90.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.901476,323.847087,-858.310040,0.000417,0.001250,35.921434,35.946434,30.190500,30.215500
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,468.936059,323.754795,-858.947706,-0.069167,0.184583,35.893934,35.946434,30.163000,30.215500
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,468.972726,323.662295,-858.942040,-0.004167,0.000417,35.895601,35.944767,30.164667,30.213833
0.000000,270.000000,1.000000,0.000000,3.000000,0.134533,468.917313,323.718665,-858.953040,-0.112260,-0.110838,35.935761,35.888943,30.204827,30.158009
0.000000,270.000000,2.000000,1.000000,3.000000,0.134533,468.862101,323.774923,-858.949873,-0.000417,0.000425,35.939127,35.889768,30.208193,30.158834
90.000000,270.000000,1.000000,0.000000,3.000000,0.134533,468.752878,324.244575,-858.826540,-0.246667,-0.228604,35.907267,35.888754,30.176333,30.157820
90.000000,270.000000,2.000000,1.000000,3.000000,0.134533,468.638858,324.238075,-858.706123,0.005833,0.002410,35.913934,35.889700,30.183000,30.158766
0.000000,270.000000,1.000000,0.000000,3.000000,0.134533,468.748871,323.994805,-858.962956,0.487500,0.220000,35.923228,35.885627,30.192294,30.154693
0.000000,270.000000,2.000000,1.000000,3.000000,0.134533,468.859508,323.751704,-858.951456,-0.000817,0.001237,35.931594,35.901434,30.200660,30.170500
-90.000000,270.000000,1.000000,0.000000,3.000000,0.134533,468.779267,323.570273,-858.675831,0.551250,-0.152173,35.913101,35.883639,30.182167,30.152705
-90.000000,270.000000,2.000000,1.000000,3.000000,0.134533,468.699427,323.587295,-858.399998,0.000417,0.002647,35.913101,35.900896,30.182167,30.169962
