abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.108115,469.513220,469.513220,0.000000,368.349563,368.349563,0.000000,-280.802781,-280.802781,0.000000
0.000000,0.000000,2.000000,1.000000,468.748707,323.671743,-836.113281,469.485303,469.485303,0.000000,368.352063,368.352063,0.000000,-280.807947,-280.807947,0.000000
90.000000,0.000000,1.000000,0.000000,491.578343,323.672160,-858.978748,776.945735,776.945735,0.000000,368.012660,368.012660,0.000000,-589.641658,-589.641658,0.000000
90.000000,0.000000,2.000000,1.000000,491.580676,323.464244,-858.905415,776.948068,776.948068,0.000000,368.014744,368.014744,0.000000,-589.568325,-589.568325,0.000000
0.000000,0.000000,1.000000,0.000000,468.715209,323.465494,-836.117615,469.451805,469.451805,0.000000,368.347481,368.347481,0.000000,-280.812281,-280.812281,0.000000
0.000000,0.000000,2.000000,1.000000,468.782293,323.669244,-836.110281,469.518889,469.518888,0.000000,368.348731,368.348731,0.000000,-280.804947,-280.804947,0.000000
-90.000000,0.000000,1.000000,0.000000,445.750950,323.668410,-858.975748,160.519331,160.519331,0.000000,368.350790,368.350790,0.000000,-588.301238,-588.301238,0.000000
-90.000000,0.000000,2.000000,1.000000,445.733617,323.547994,-858.359498,160.501997,160.501997,0.000000,368.366207,368.366207,0.000000,-587.684988,-587.684988,0.000000
0.000000,0.000000,1.000000,0.000000,468.599084,323.550285,-836.113156,469.335680,469.335680,0.000000,368.363939,368.363939,0.000000,-280.807822,-280.807822,0.000000
0.000000,0.000000,2.000000,1.000000,468.748251,323.684869,-836.110823,469.484847,469.484847,0.000000,368.366023,368.366023,0.000000,-280.805489,-280.805489,0.000000
0.000000,90.000000,1.000000,0.000000,468.749297,323.685237,-836.092657,424.148343,424.148344,0.000001,324.422233,324.422233,0.000000,-280.787322,-280.787323,0.000000
0.000000,90.000000,2.000000,1.000000,468.837214,323.566407,-833.201157,424.406260,424.406261,0.000002,324.303403,324.303403,0.000000,-277.895822,-277.895822,0.000000
0.000000,90.000000,1.000000,0.000000,468.749288,323.684917,-836.085990,424.161668,424.161668,0.000000,324.421913,324.421913,0.000000,-280.780656,-280.780656,0.000000
0.000000,90.000000,2.000000,1.000000,468.848045,323.585414,-836.086156,424.160425,424.160425,0.000000,324.322410,324.322410,0.000000,-280.780822,-280.780822,0.000000
90.000000,90.000000,1.000000,0.000000,468.847420,346.246339,-858.951623,424.191287,424.191287,0.000000,631.614131,631.614131,0.000000,-589.614533,-589.614533,0.000000
90.000000,90.000000,2.000000,1.000000,468.747837,346.253672,-858.964123,424.191703,424.191704,0.000000,631.621464,631.621464,0.000000,-589.627033,-589.627033,0.000000
0.000000,90.000000,1.000000,0.000000,468.747837,323.388205,-836.091531,424.171049,424.171050,0.000000,324.125201,324.125201,0.000000,-280.786197,-280.786197,0.000000
0.000000,90.000000,2.000000,1.000000,468.857003,323.576122,-836.094198,424.173550,424.173551,0.000001,324.313118,324.313118,0.000000,-280.788864,-280.788864,0.000000
-90.000000,90.000000,1.000000,0.000000,468.858253,301.214780,-858.959665,424.042740,424.042741,0.000001,15.983560,15.983560,0.000000,-588.285155,-588.285155,0.000000
-90.000000,90.000000,2.000000,1.000000,468.841170,301.194113,-858.147165,424.023990,424.023991,0.000000,15.962893,15.962893,0.000000,-587.472655,-587.472655,0.000000
0.000000,90.000000,1.000000,0.000000,468.842420,324.059580,-836.094573,424.168966,424.168967,0.000001,324.796576,324.796576,0.000000,-280.789239,-280.789239,0.000000
0.000000,90.000000,2.000000,1.000000,468.849503,323.554580,-836.091406,424.162716,424.162717,0.000000,324.291576,324.291576,0.000000,-280.786072,-280.786072,0.000000
0.000000,180.000000,1.000000,0.000000,468.849135,323.552293,-836.079906,468.117339,468.117339,0.000000,279.002572,279.002572,0.000000,-280.774572,-280.774572,0.000000
0.000000,180.000000,2.000000,1.000000,468.973975,323.674378,-836.077573,468.242179,468.242179,0.000000,279.002991,279.002991,0.000000,-280.772239,-280.772239,0.000000
90.000000,180.000000,1.000000,0.000000,445.927633,323.673962,-858.943040,160.565041,160.565041,0.000000,278.900728,278.900728,0.000000,-589.605950,-589.605950,0.000000
90.000000,180.000000,2.000000,1.000000,445.917800,323.439795,-858.882207,160.555208,160.555208,0.000000,278.914062,278.914062,0.000000,-589.545117,-589.545117,0.000000
0.000000,180.000000,1.000000,0.000000,468.783267,323.447087,-836.073365,468.051471,468.051471,0.000000,278.994866,278.994866,0.000000,-280.768031,-280.768031,0.000000
0.000000,180.000000,2.000000,1.000000,468.945351,323.665003,-836.074365,468.213554,468.213555,0.000000,279.001116,279.001116,0.000000,-280.769030,-280.769030,0.000000
-90.000000,180.000000,1.000000,0.000000,491.761276,323.664378,-858.939832,776.997696,776.997696,0.000000,279.053432,279.053432,0.000000,-588.265321,-588.265321,0.000000
-90.000000,180.000000,2.000000,1.000000,491.766943,323.847712,-858.310248,777.003363,777.003362,0.000000,279.040932,279.040932,0.000000,-587.635738,-587.635738,0.000000
0.000000,180.000000,1.000000,0.000000,468.901476,323.847087,-836.082239,468.169679,468.169680,0.000000,278.989033,278.989033,0.000000,-280.776905,-280.776905,0.000000
0.000000,180.000000,2.000000,1.000000,468.970643,323.662503,-836.076573,468.238846,468.238847,0.000000,278.989450,278.989450,0.000000,-280.771239,-280.771239,0.000000
0.000000,270.000000,1.000000,0.000000,468.972735,323.662615,-836.087573,513.511822,513.511821,0.000000,322.931219,322.931219,0.000000,-280.782239,-280.782239,0.000000
0.000000,270.000000,2.000000,1.000000,468.861888,323.774555,-836.084406,513.512642,513.512642,0.000000,323.043159,323.043159,0.000000,-280.779072,-280.779072,0.000000
90.000000,270.000000,1.000000,0.000000,468.865795,301.379108,-858.949873,513.159228,513.159228,0.000000,16.016916,16.016916,0.000000,-589.612783,-589.612783,0.000000
