abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.766962,317.986059,-859.768322,0.000497,-0.002085,35.887301,35.934748,30.156367,30.203814
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.767490,317.985009,-859.767655,0.000480,-0.000004,35.888934,35.932283,30.158000,30.201349
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.745831,318.022581,-859.753655,0.074743,0.043339,35.956754,35.890597,30.225820,30.159663
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.724784,318.058614,-859.752155,-0.002917,-0.001250,35.953101,35.891434,30.222167,30.160500
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.676659,318.028614,-859.735655,0.096250,0.060000,35.881434,35.943934,30.150500,30.213000
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.627492,317.997989,-859.734989,0.002083,0.001250,35.879768,35.943101,30.148834,30.212167
0.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.657906,317.961411,-859.745989,0.073877,0.060843,35.946434,35.942280,30.215500,30.211346
0.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.687896,317.925900,-859.744489,-0.004776,-0.000831,35.950793,35.943946,30.219859,30.213012
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.730396,317.955900,-859.765489,0.085000,0.060000,35.887268,35.933934,30.156334,30.203000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.774146,317.985691,-859.768155,0.002500,-0.000417,35.887268,35.933101,30.156334,30.202167
10.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.715359,317.963400,-859.760533,-0.118128,-0.044583,36.027198,35.929767,30.296264,30.198833
10.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.657941,317.940275,-859.748075,-0.000628,-0.001667,36.028865,35.928934,30.297931,30.198000
10.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.701899,317.923343,-859.762218,-0.029053,-0.087917,35.934365,35.893101,30.203431,30.162167
10.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.746691,317.908054,-859.757189,-0.002294,-0.001667,35.933865,35.893934,30.202931,30.163000
10.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.763775,317.948054,-859.734073,-0.042294,-0.080000,36.032198,35.942268,30.301264,30.211334
10.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.781589,317.987220,-859.732828,0.007289,0.001667,36.034698,35.940601,30.303764,30.209667
10.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.715416,318.030460,-859.739960,-0.078263,-0.136738,35.930576,35.940173,30.199642,30.209239
10.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.646644,318.068599,-859.734108,-0.000346,0.003099,35.929653,35.941355,30.198719,30.210421
-10.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.790582,318.041099,-859.763089,0.273128,-0.055000,36.035531,35.925601,30.304597,30.194667
-10.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.925514,318.014641,-859.735270,0.002711,0.002083,36.034698,35.928101,30.303764,30.197167
-10.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.811526,318.109440,-859.727242,0.188882,0.227500,35.930374,35.890601,30.199440,30.159667
-10.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.697905,318.201433,-859.709539,-0.000206,-0.000417,35.930531,35.893101,30.199597,30.162167
-10.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.603671,318.099767,-859.710050,0.186044,0.203333,36.021365,35.935601,30.290431,30.204667
-10.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.513381,317.998100,-859.691795,-0.001456,0.000000,36.024698,35.940601,30.293764,30.209667
-10.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.616773,317.879095,-859.743686,0.214312,0.209008,35.941955,35.937346,30.211021,30.206412
-10.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.720492,317.774506,-859.721908,-0.000082,0.000178,35.946725,35.943101,30.215791,30.212167
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.749450,317.879923,-859.771242,0.057917,0.210833,35.884768,35.932267,30.153834,30.201333
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.778826,317.986173,-859.765575,0.000833,0.001667,35.887268,35.932267,30.156334,30.201333
30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.570884,317.904923,-859.757700,-0.369892,-0.162500,35.920988,35.923934,30.190054,30.193000
30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.414024,317.824715,-859.662877,0.006775,0.002083,35.915988,35.931434,30.185054,30.200500
30.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.582839,317.739439,-859.733653,-0.073873,-0.340417,35.933303,35.894768,30.202369,30.163834
30.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.754554,317.709683,-859.710252,-0.002300,-0.002083,35.932470,35.896434,30.201536,30.165500
30.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.877285,317.836736,-859.722937,-0.201188,-0.258750,35.915248,35.941434,30.184314,30.210500
30.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.955729,317.963659,-859.671416,0.017191,0.005833,35.928119,35.938934,30.197185,30.208000
30.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.747116,318.235082,-859.708611,-0.434197,-0.416298,35.867935,35.936530,30.137001,30.205596
30.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.534362,318.422431,-859.596548,-0.001489,0.005192,35.877791,35.943934,30.146857,30.213000
-30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.913600,318.238889,-859.736108,0.518225,-0.367083,35.897655,35.916434,30.166721,30.185500
-30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,358.132014,318.056597,-859.595169,-0.000525,0.002500,35.906822,35.930601,30.175888,30.199667
-30.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.875347,318.361974,-859.618605,0.502716,0.513333,35.860247,35.880601,30.129313,30.149667
-30.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.618472,318.573318,-859.484631,-0.001451,0.000417,35.876637,35.894768,30.145703,30.163834
-30.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.375330,318.279859,-859.604002,0.300725,0.583228,35.911731,35.938190,30.180797,30.207256
-30.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.258518,317.988870,-859.517705,-0.008534,-0.001250,35.937470,35.941434,30.206536,30.210500
-30.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.488965,317.698840,-859.681641,0.339174,0.465044,35.923163,35.934557,30.192229,30.203623
-30.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.719651,317.557054,-859.586447,0.004869,0.000939,35.933718,35.941701,30.202784,30.210767
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.741109,317.774971,-859.768281,0.042917,0.435833,35.879768,35.933934,30.148834,30.203000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.763609,317.992887,-859.762614,0.002083,0.000000,35.891434,35.933934,30.160500,30.203000
50.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.386885,317.868512,-859.728314,-0.534388,-0.248750,35.863685,35.916434,30.132751,30.185500
50.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.230340,317.744554,-859.511740,-0.000731,0.000833,35.863036,35.930601,30.132102,30.199667
50.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.482362,317.504552,-859.627368,-0.129846,-0.503333,35.912933,35.892268,30.181999,30.161334
50.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.734299,317.471760,-859.566104,-0.007305,-0.001250,35.936184,35.896434,30.205250,30.165500
