abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
0.000000,0.000000,1.000000,0.000000,468.764244,323.665926,-836.104882,469.499840,469.499840,0.000000,368.345413,368.345413,0.000000,-280.801148,-280.801148,0.000000
0.000000,0.000000,2.000000,1.000000,468.765911,323.665093,-836.105882,469.501507,469.501506,0.000000,368.342914,368.342914,0.000000,-280.802148,-280.802148,0.000000
0.000000,90.000000,1.000000,0.000000,468.765910,323.664468,-836.088549,424.157290,424.157291,0.000001,324.401464,324.401464,0.000000,-280.784815,-280.784815,0.000000
0.000000,90.000000,2.000000,1.000000,468.847577,323.543298,-836.086216,424.169790,424.169791,0.000000,324.280294,324.280294,0.000000,-280.782482,-280.782482,0.000000
0.000000,180.000000,1.000000,0.000000,468.851327,323.543506,-836.073882,468.118531,468.118531,0.000000,278.985452,278.985452,0.000000,-280.770148,-280.770148,0.000000
0.000000,180.000000,2.000000,1.000000,468.969244,323.658919,-836.071549,468.236448,468.236448,0.000000,278.985865,278.985865,0.000000,-280.767815,-280.767815,0.000000
0.000000,270.000000,1.000000,0.000000,468.967409,323.656626,-836.081716,513.511330,513.511328,-0.000001,322.925230,322.925230,0.000000,-280.777981,-280.777981,0.000000
0.000000,270.000000,2.000000,1.000000,468.860317,323.753389,-836.078549,513.509237,513.509237,0.000000,323.021993,323.021993,0.000000,-280.774815,-280.774815,0.000000
0.000000,0.000000,1.000000,0.000000,468.860110,323.754887,-836.103715,469.595706,469.595706,0.000000,368.336874,368.336874,0.000000,-280.799981,-280.799981,0.000000
0.000000,0.000000,2.000000,1.000000,468.764693,323.658637,-836.102215,469.500289,469.500289,0.000000,368.338124,368.338124,0.000000,-280.798481,-280.798481,0.000000
10.000000,0.000000,1.000000,0.000000,472.736148,323.659680,-836.431448,523.003324,523.003323,0.000000,368.297122,368.297122,0.000000,-285.578175,-285.578175,0.000000
10.000000,0.000000,2.000000,1.000000,472.720216,323.642597,-836.427147,522.987392,522.987392,0.000000,368.301707,368.301707,0.000000,-285.573875,-285.573875,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.104781,-0.001580,-0.001580,0.000000,17.951996,17.951996,0.000000,-121.550647,-121.550647,0.000000
0.000000,0.000000,2.000000,1.000000,468.766624,323.658409,-836.100781,-0.011580,-0.011580,0.000000,17.950330,17.950330,0.000000,-121.546647,-121.546647,0.000000
0.000000,90.000000,1.000000,0.000000,468.768712,323.657736,-836.084281,-45.349542,-45.349542,0.000000,-25.993668,-25.993668,0.000000,-121.530147,-121.530147,0.000000
0.000000,90.000000,2.000000,1.000000,468.851629,323.543073,-836.081948,-45.350792,-45.350791,0.000000,-26.108331,-26.108331,0.000000,-121.527814,-121.527814,0.000000
0.000000,180.000000,1.000000,0.000000,468.852254,323.543698,-836.067948,-1.394343,-1.394343,0.000000,-71.407756,-71.407756,0.000000,-121.513814,-121.513814,0.000000
0.000000,180.000000,2.000000,1.000000,468.978087,323.657031,-836.063115,-1.268509,-1.268509,0.000000,-71.406090,-71.406090,0.000000,-121.508981,-121.508981,0.000000
0.000000,270.000000,1.000000,0.000000,468.977888,323.657351,-836.071615,44.000508,44.000503,-0.000005,-27.462445,-27.462445,0.000000,-121.517481,-121.517481,0.000000
0.000000,270.000000,2.000000,1.000000,468.866633,323.755941,-836.071781,44.002587,44.002586,0.000000,-27.363855,-27.363855,0.000000,-121.517647,-121.517647,0.000000
0.000000,0.000000,1.000000,0.000000,468.866426,323.758064,-836.096948,0.088222,0.088222,0.000000,17.952485,17.952485,0.000000,-121.542814,-121.542814,0.000000
0.000000,0.000000,2.000000,1.000000,468.768093,323.660148,-836.102115,-0.010111,-0.010111,0.000000,17.952901,17.952901,0.000000,-121.547980,-121.547980,0.000000
10.000000,0.000000,1.000000,0.000000,472.740451,323.660147,-836.433313,53.493827,53.493826,0.000000,17.901690,17.901690,0.000000,-126.329640,-126.329640,0.000000
10.000000,0.000000,2.000000,1.000000,472.716513,323.634731,-836.425066,53.469889,53.469888,0.000000,17.915440,17.915440,0.000000,-126.321393,-126.321393,0.000000
10.000000,90.000000,1.000000,0.000000,468.747474,327.604915,-836.454232,-45.347068,-45.347068,0.000000,27.485091,27.485091,0.000000,-126.350560,-126.350560,0.000000
10.000000,90.000000,2.000000,1.000000,468.830391,327.511686,-836.432921,-45.344152,-45.344150,0.000001,27.391862,27.391862,0.000000,-126.329249,-126.329249,0.000000
10.000000,180.000000,1.000000,0.000000,464.863998,323.539946,-836.422333,-54.914179,-54.914179,0.000000,-71.421963,-71.421963,0.000000,-126.318661,-126.318661,0.000000
10.000000,180.000000,2.000000,1.000000,464.958049,323.617609,-836.404262,-54.820127,-54.820127,0.000000,-71.424300,-71.424300,0.000000,-126.300589,-126.300589,0.000000
10.000000,270.000000,1.000000,0.000000,468.930246,319.648364,-836.422974,43.949155,43.949155,0.000000,-81.003012,-81.003012,0.000000,-126.319301,-126.319301,0.000000
10.000000,270.000000,2.000000,1.000000,468.836750,319.786061,-836.404822,43.961493,43.961491,-0.000001,-80.865316,-80.865316,0.000000,-126.301150,-126.301150,0.000000
-10.000000,0.000000,1.000000,0.000000,464.874174,323.756690,-836.423111,-53.455929,-53.455929,0.000000,17.981497,17.981497,0.000000,-126.087197,-126.087197,0.000000
-10.000000,0.000000,2.000000,1.000000,464.777907,323.667941,-836.438597,-53.552196,-53.552196,0.000000,17.982748,17.982748,0.000000,-126.102683,-126.102683,0.000000
-10.000000,90.000000,1.000000,0.000000,468.744808,319.690153,-836.401723,-45.366333,-45.366331,0.000001,-79.513149,-79.513149,0.000000,-126.065809,-126.065809,0.000000
-10.000000,90.000000,2.000000,1.000000,468.851058,319.594562,-836.416243,-45.373416,-45.373415,0.000000,-79.608740,-79.608740,0.000000,-126.080330,-126.080330,0.000000
-10.000000,180.000000,1.000000,0.000000,472.825489,323.566312,-836.385880,52.130791,52.130791,0.000000,-71.409695,-71.409695,0.000000,-126.049967,-126.049967,0.000000
-10.000000,180.000000,2.000000,1.000000,472.911672,323.670737,-836.396232,52.216974,52.216974,0.000000,-71.414437,-71.414437,0.000000,-126.060318,-126.060318,0.000000
-10.000000,270.000000,1.000000,0.000000,468.937777,327.636394,-836.414652,44.019117,44.019116,0.000000,26.068496,26.068496,0.000000,-126.078739,-126.078739,0.000000
-10.000000,270.000000,2.000000,1.000000,468.861843,327.714841,-836.427053,44.019017,44.019016,0.000000,26.146943,26.146943,0.000000,-126.091139,-126.091139,0.000000
0.000000,0.000000,1.000000,0.000000,468.861268,323.744781,-836.100746,0.083064,0.083064,0.000000,17.955035,17.955035,0.000000,-121.546612,-121.546612,0.000000
0.000000,0.000000,2.000000,1.000000,468.770435,323.663948,-836.100913,-0.007769,-0.007769,0.000000,17.955869,17.955869,0.000000,-121.546779,-121.546779,0.000000
30.000000,0.000000,1.000000,0.000000,480.225126,323.663948,-839.130390,154.007085,154.007085,0.000000,17.813354,17.813354,0.000000,-163.133501,-163.133501,0.000000
30.000000,0.000000,2.000000,1.000000,480.206194,323.588531,-839.117131,153.988153,153.988153,0.000000,17.815437,17.815437,0.000000,-163.120242,-163.120242,0.000000
30.000000,90.000000,1.000000,0.000000,468.776803,335.006556,-839.146489,-45.354770,-45.354768,0.000001,127.915315,127.915315,0.000000,-163.149599,-163.149599,0.000000
30.000000,90.000000,2.000000,1.000000,468.782219,335.005873,-839.143761,-45.366020,-45.366019,0.000001,127.914632,127.914632,0.000000,-163.146872,-163.146872,0.000000
30.000000,180.000000,1.000000,0.000000,457.355723,323.573792,-839.164282,-155.451036,-155.451036,0.000000,-71.435147,-71.435147,0.000000,-163.167393,-163.167393,0.000000
30.000000,180.000000,2.000000,1.000000,457.439568,323.562124,-839.116427,-155.367192,-155.367191,0.000000,-71.432648,-71.432648,0.000000,-163.119538,-163.119538,0.000000
30.000000,270.000000,1.000000,0.000000,468.869487,312.159467,-839.174162,43.860425,43.860424,0.000000,-181.520492,-181.520492,0.000000,-163.177273,-163.177273,0.000000
30.000000,270.000000,2.000000,1.000000,468.785825,312.396503,-839.027099,43.848430,43.848428,-0.000002,-181.283456,-181.283456,0.000000,-163.030210,-163.030210,0.000000
-30.000000,0.000000,1.000000,0.000000,457.382197,323.829685,-839.080993,-154.135350,-154.135350,0.000000,18.024197,18.024197,0.000000,-162.415393,-162.415393,0.000000
-30.000000,0.000000,2.000000,1.000000,457.310074,323.668851,-839.115495,-154.207473,-154.207473,0.000000,18.026697,18.026697,0.000000,-162.449895,-162.449895,0.000000
-30.000000,90.000000,1.000000,0.000000,468.742009,312.191706,-839.038547,-45.436337,-45.436335,0.000002,-180.199041,-180.199041,0.000000,-162.372948,-162.372948,0.000000
-30.000000,90.000000,2.000000,1.000000,468.826592,312.259483,-839.002863,-45.436753,-45.436752,0.000001,-180.131264,-180.131264,0.000000,-162.337263,-162.337263,0.000000
-30.000000,180.000000,1.000000,0.000000,480.258994,323.691000,-839.007897,152.751740,152.751740,0.000000,-71.420545,-71.420545,0.000000,-162.342298,-162.342298,0.000000
-30.000000,180.000000,2.000000,1.000000,480.340039,323.707667,-839.053318,152.832785,152.832785,0.000000,-71.424712,-71.424712,0.000000,-162.387719,-162.387719,0.000000
