abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.270723,325.854595,-859.759385,0.385669,0.464582,36.027268,35.941434,30.296334,30.210500
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.464232,326.086678,-859.747052,0.000830,-0.000416,36.037268,35.943097,30.306334,30.212163
2.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.512694,326.082571,-859.748114,0.094503,-0.008295,35.968438,35.945601,30.237504,30.214667
2.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.557795,326.078205,-859.745738,-0.000577,-0.000412,35.966612,35.946503,30.235678,30.215569
-2.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.516955,326.086292,-859.757013,-0.079017,0.016246,36.079092,35.943040,30.348158,30.212106
-2.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.476901,326.095019,-859.754174,-0.000357,0.001277,36.080105,35.949767,30.349171,30.218833
2.000000,10.000000,1.000000,0.000000,3.000000,0.134533,305.519466,326.067397,-859.748133,0.071985,-0.069155,36.009715,35.937267,30.278781,30.206333
2.000000,10.000000,2.000000,1.000000,3.000000,0.134533,305.560207,326.039717,-859.745393,-0.000851,0.000429,36.014042,35.938100,30.283108,30.207166
2.000000,-10.000000,1.000000,0.000000,3.000000,0.134533,305.567009,326.077134,-859.745668,-0.001699,0.075856,35.925849,35.955394,30.194915,30.224460
2.000000,-10.000000,2.000000,1.000000,3.000000,0.134533,305.571448,326.115779,-859.745074,-0.002532,0.001620,35.926875,35.955531,30.195941,30.224597
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.515896,326.102466,-859.746907,-0.109571,-0.026670,36.036787,35.940581,30.305853,30.209647
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.462120,326.086838,-859.747075,0.002348,-0.004579,36.038319,35.944779,30.307385,30.213845
