abs_b_deg,abs_c_deg,pass_num,accepted,joint3_pos_cmd_deg,joint3_pos_fb_deg,joint3_motor_pos_cmd_deg,joint3_motor_pos_fb_deg,joint4_pos_cmd_deg,joint4_pos_fb_deg,joint4_motor_pos_cmd_deg,joint4_motor_pos_fb_deg
0.000000,0.000000,1.000000,0.000000,0.000000,-0.000014,-0.024659,-0.024673,0.000000,-0.000193,-0.004293,-0.004143
0.000000,0.000000,2.000000,1.000000,0.000000,-0.000014,-0.024659,-0.024673,0.000000,0.000150,-0.004293,-0.004143
5.000000,20.000000,1.000000,0.000000,5.000000,5.000139,4.975341,4.975480,20.000000,20.002477,19.995707,19.998184
5.000000,20.000000,2.000000,1.000000,5.000000,5.000139,4.975341,4.975137,20.000000,20.002820,19.995707,19.998527
5.000000,-20.000000,1.000000,0.000000,5.000000,5.000139,4.975341,4.975480,-20.000000,-20.000074,-20.014293,-20.014023
5.000000,-20.000000,2.000000,1.000000,5.000000,5.000139,4.975341,4.975137,-20.000000,-20.000074,-20.014293,-20.014366
-5.000000,20.000000,1.000000,0.000000,-5.000000,-5.000139,-5.046659,-5.046798,20.000000,20.002820,19.995707,19.998527
-5.000000,20.000000,2.000000,1.000000,-5.000000,-4.999796,-5.046659,-5.046455,20.000000,19.996984,19.995707,19.992691
-5.000000,-20.000000,1.000000,0.000000,-5.000000,-5.000139,-5.046659,-5.046798,-20.000000,-20.000074,-20.014293,-20.014366
-5.000000,-20.000000,2.000000,1.000000,-5.000000,-4.999796,-5.046659,-5.046798,-20.000000,-20.000074,-20.014293,-20.014366
