abs_b_deg,abs_c_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
0.000000,0.000000,1.000000,0.000000,-182.939873,-0.024673,180.874443,0.004143,-532851.000000,-526835.000000,-13.671875,-193.481445,-13.671875,-193.481445
0.000000,0.000000,2.000000,1.000000,-182.939873,-0.024673,180.874443,0.004143,-532851.000000,-526835.000000,-13.671875,149.841309,-13.671875,149.841309
5.000000,20.000000,1.000000,0.000000,-177.939720,4.975480,160.872116,-19.998184,-518287.000000,-468574.000000,138.916016,2476.806641,5000138.916016,20002476.806641
5.000000,20.000000,2.000000,1.000000,-177.940063,4.975137,160.871773,-19.998527,-518287.000000,-468573.000000,138.916016,2820.129395,5000138.916016,20002820.129395
5.000000,-20.000000,1.000000,0.000000,-177.939720,4.975480,200.884323,20.014023,-518287.000000,-585118.000000,138.916016,-73.547363,5000138.916016,-20000073.547363
5.000000,-20.000000,2.000000,1.000000,-177.940063,4.975137,200.884666,20.014366,-518288.000000,-585119.000000,138.916016,-73.547363,5000138.916016,-20000073.547363
-5.000000,20.000000,1.000000,0.000000,-187.961998,-5.046798,160.871773,-19.998527,-547479.000000,-468573.000000,-138.916016,2820.129395,-5000138.916016,20002820.129395
-5.000000,20.000000,2.000000,1.000000,-187.961655,-5.046455,160.877609,-19.992691,-547478.000000,-468590.000000,204.406738,-3016.357422,-4999795.593262,19996983.642578
-5.000000,-20.000000,1.000000,0.000000,-187.961998,-5.046798,200.884666,20.014366,-547479.000000,-585119.000000,-138.916016,-73.547363,-5000138.916016,-20000073.547363
-5.000000,-20.000000,2.000000,1.000000,-187.961998,-5.046798,200.884666,20.014366,-547479.000000,-585119.000000,204.406738,-73.547363,-4999795.593262,-20000073.547363
