abs_b_deg,abs_c_deg,pass_num,accepted,point_id,touch_abs_x_mm,touch_abs_y_mm,touch_abs_z_mm
0.000000,0.000000,1.000000,0.000000,1.000000,305.461064,326.089123,-841.881774
0.000000,0.000000,1.000000,0.000000,2.000000,287.444927,326.089122,-859.747240
0.000000,0.000000,1.000000,0.000000,3.000000,323.482868,326.089126,-859.747240
0.000000,0.000000,1.000000,0.000000,4.000000,305.461060,308.112155,-859.747240
0.000000,0.000000,1.000000,0.000000,5.000000,305.461060,344.056089,-859.747240
0.000000,0.000000,2.000000,1.000000,1.000000,305.463733,326.084124,-841.878607
0.000000,0.000000,2.000000,1.000000,2.000000,287.444936,326.084126,-859.744074
0.000000,0.000000,2.000000,1.000000,3.000000,323.481530,326.084122,-859.744074
0.000000,0.000000,2.000000,1.000000,4.000000,305.464050,308.113814,-859.744074
0.000000,0.000000,2.000000,1.000000,5.000000,305.464050,344.054415,-859.744074
5.000000,0.000000,1.000000,0.000000,1.000000,303.905161,326.084213,-841.940056
5.000000,0.000000,1.000000,0.000000,2.000000,287.646524,326.084636,-861.296372
5.000000,0.000000,1.000000,0.000000,3.000000,323.388910,326.084636,-858.169318
5.000000,0.000000,1.000000,0.000000,4.000000,305.463727,308.082676,-859.737638
5.000000,0.000000,1.000000,0.000000,5.000000,305.463407,344.027774,-859.737638
5.000000,0.000000,2.000000,1.000000,1.000000,303.959964,326.055153,-841.935312
5.000000,0.000000,2.000000,1.000000,2.000000,287.642682,326.055081,-861.296473
5.000000,0.000000,2.000000,1.000000,3.000000,323.388413,326.055246,-858.169439
5.000000,0.000000,2.000000,1.000000,4.000000,305.516366,308.083114,-859.732728
5.000000,0.000000,2.000000,1.000000,5.000000,305.516366,344.024548,-859.732728
-5.000000,0.000000,1.000000,0.000000,1.000000,307.069362,326.054409,-841.963853
-5.000000,0.000000,1.000000,0.000000,2.000000,287.544433,326.054320,-858.189550
-5.000000,0.000000,1.000000,0.000000,3.000000,323.446556,326.054477,-861.330246
-5.000000,0.000000,1.000000,0.000000,4.000000,305.512940,308.125686,-859.761272
-5.000000,0.000000,1.000000,0.000000,5.000000,305.513100,344.069778,-859.761272
-5.000000,0.000000,2.000000,1.000000,1.000000,307.051604,326.097801,-841.961822
-5.000000,0.000000,2.000000,1.000000,2.000000,287.545769,326.097712,-858.189191
-5.000000,0.000000,2.000000,1.000000,3.000000,323.445401,326.097869,-861.329669
-5.000000,0.000000,2.000000,1.000000,4.000000,305.493337,308.127411,-859.759399
-5.000000,0.000000,2.000000,1.000000,5.000000,305.495182,344.068846,-859.759242
5.000000,20.000000,1.000000,0.000000,1.000000,304.027954,325.564869,-841.936264
5.000000,20.000000,1.000000,0.000000,2.000000,288.672120,319.977172,-861.299374
5.000000,20.000000,1.000000,0.000000,3.000000,322.316495,332.221491,-858.167427
5.000000,20.000000,1.000000,0.000000,4.000000,311.683527,309.080931,-859.733681
5.000000,20.000000,1.000000,0.000000,5.000000,299.393054,342.851779,-859.733846
5.000000,20.000000,2.000000,1.000000,1.000000,304.081694,325.434928,-841.937879
5.000000,20.000000,2.000000,1.000000,2.000000,288.724043,319.844284,-861.301735
5.000000,20.000000,2.000000,1.000000,3.000000,322.363344,332.087460,-858.169529
5.000000,20.000000,2.000000,1.000000,4.000000,311.690339,309.084846,-859.735461
5.000000,20.000000,2.000000,1.000000,5.000000,299.398392,342.854108,-859.735295
5.000000,-20.000000,1.000000,0.000000,1.000000,304.079056,326.500919,-841.924846
5.000000,-20.000000,1.000000,0.000000,2.000000,288.682688,332.104776,-861.291878
5.000000,-20.000000,1.000000,0.000000,3.000000,322.250724,319.887010,-858.166904
5.000000,-20.000000,1.000000,0.000000,4.000000,299.449815,309.226483,-859.722428
5.000000,-20.000000,1.000000,0.000000,5.000000,311.740986,342.996196,-859.722428
5.000000,-20.000000,2.000000,1.000000,1.000000,304.055006,326.671859,-841.931157
5.000000,-20.000000,2.000000,1.000000,2.000000,288.731281,332.249100,-861.291434
5.000000,-20.000000,2.000000,1.000000,3.000000,322.302265,320.030261,-858.165858
5.000000,-20.000000,2.000000,1.000000,4.000000,299.373322,309.253336,-859.728739
5.000000,-20.000000,2.000000,1.000000,5.000000,311.664208,343.022267,-859.728739
0.000000,0.000000,1.000000,0.000000,1.000000,305.518246,326.138728,-841.878392
0.000000,0.000000,1.000000,0.000000,2.000000,287.440922,326.138714,-859.743859
0.000000,0.000000,1.000000,0.000000,3.000000,323.477356,326.138714,-859.743859
0.000000,0.000000,1.000000,0.000000,4.000000,305.520413,308.110918,-859.743863
0.000000,0.000000,1.000000,0.000000,5.000000,305.520573,344.056514,-859.743863
0.000000,0.000000,1.000000,0.000000,1.000000,305.463477,326.084121,-841.878774
0.000000,0.000000,1.000000,0.000000,2.000000,287.439006,326.084120,-859.744240
0.000000,0.000000,1.000000,0.000000,3.000000,323.476274,326.084120,-859.744240
0.000000,0.000000,1.000000,0.000000,4.000000,305.463473,308.108819,-859.744240
0.000000,0.000000,1.000000,0.000000,5.000000,305.463313,344.051924,-859.744240
0.000000,0.000000,2.000000,1.000000,1.000000,305.457636,326.080370,-841.878940
0.000000,0.000000,2.000000,1.000000,2.000000,287.438005,326.080372,-859.744407
0.000000,0.000000,2.000000,1.000000,3.000000,323.476451,326.080368,-859.744411
0.000000,0.000000,2.000000,1.000000,4.000000,305.457472,308.108405,-859.744407
0.000000,0.000000,2.000000,1.000000,5.000000,305.457632,344.054002,-859.744407
