abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.462479,326.086623,-859.747240,0.002833,-0.005002,36.037941,35.943934,30.307007,30.213000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.463641,326.084119,-859.744074,-0.000501,-0.000010,36.036594,35.940601,30.305660,30.209667
5.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.490642,326.069931,-859.735242,0.055676,-0.028987,35.878917,35.945098,30.147983,30.214164
5.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.515957,326.054497,-859.732842,-0.001503,-0.001322,35.882247,35.941434,30.151313,30.210500
-5.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.504257,326.076065,-859.760585,-0.016851,0.043323,36.039234,35.944091,30.308300,30.213157
-5.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.494923,326.097960,-859.759375,0.001066,0.000328,36.036734,35.941434,30.305800,30.210500
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.516299,326.032843,-859.733582,0.003657,-0.139292,35.939900,35.937805,30.208966,30.206871
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.544029,325.967674,-859.735505,-0.001672,0.002048,35.934783,35.936820,30.203849,30.205886
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.531053,326.053616,-859.725910,-0.080694,0.152535,35.858783,35.936979,30.127849,30.206045
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.517769,326.138741,-859.728692,-0.001445,-0.001215,35.861961,35.936145,30.131027,30.205211
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.489816,326.111215,-859.743861,-0.059107,-0.055012,36.036434,35.945597,30.305500,30.214663
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.460517,326.082245,-859.744240,-0.005837,-0.003750,36.037268,35.943104,30.306334,30.212170
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.457390,326.080787,-859.744408,-0.000408,0.000834,36.038446,35.945597,30.307512,30.214663
