;Tool  Pocket Z Offset     Diameter     Remark
T1     P1     Z+200.415000 D+6.000000   ; Probe 150
T2     P1     Z+202.073000 D+2.000000   ; Probe 150 #2
T3     P1     Z+128.606729 D+6.000000   ; Wireless PROBE
T10    P0     Z+126.344000 D+0.000000   ; Drill-6.8mm
T11    P0     Z+187.995361 D+0.000000   ; Fusion 50mm Face - Flat Insert
T12    P0     Z+220.788000 D+0.000000   ; 50mm Face 4 row insert
T14    P0     Z+381.294000 D+0.000000   ; 25mm x 260mm BT30-ER40-100
T15    P0     Z+291.648000 D+0.000000   ; Fusion 50mm Face - Extra Long
T16    P0     Z+330.539000 D+0.000000   ; Flat 400R-350L
T21    P0     Z+217.944000 D+0.000000   ; EM20_R10
T22    P0     Z+220.013000 D+0.000000   ; EM20_L170
T23    P0     Z+204.439000 D+0.000000   ; BM-R3.0-DC06-150
T24    P0     Z+138.745967 D+0.000000   ; BM-R3.0-DC06-90
T25    P0     Z+231.907000 D+0.000000   ; Fusion 20mm x R3
T29    P0     Z+195.997000 D+6.000000   ; Cut_up6
T31    P0     Z+249.007000 D+0.000000   ; bem8-dc08-130l
T32    P0     Z+258.124063 D+0.000000   ; BM-R3-150-DC06-150
T35    P0     Z+347.731000 D+0.000000   ; Bull 16mm R2 x 350mm
T36    P0     Z+259.560000 D+0.000000   ; Thread end - 12R2
T43    P0     Z+227.398000 D+0.000000   ; Ball R4x95 DC06-90
T45    P0     Z+348.895000 D+0.000000   ; BEM16 R2 X 300
T46    P0     Z+293.219000 D+0.000000   ; Ball End12
T47    P0     Z+204.440000 D+0.000000   ; Ball R3 x 50mm DC06-150
T48    P0     Z+333.402000 D+0.000000   ; Ball End12
T49    P0     Z+189.283779 D+0.000000   ; Face EM8
T50    P0     Z+179.450726 D+0.000000   ; r3-dc06-150
T51    P0     Z+411.810000 D+0.000000   ; Fusion 25mm Insert Long Insert
T52    P0     Z+165.673000 D+0.000000   ; Ball_8mm_L75
T62    P0     Z+182.536173 D+0.000000   ; Egevimg 60_D6
T64    P0     Z+273.710000 D+0.000000   ; Drill 2mmx170mm
T66    P0     Z+273.483000 D+0.000000   ; drill 2.5x120mm
T67    P0     Z+165.002000 D+4.000000   ; B'DRILL4MMX120MM
T68    P0     Z+321.957000 D+0.000000   ; DRILL 4 X 300
T69    P0     Z+425.022000 D+0.000000   ; 4mm x 370mm
T70    P0     Z+293.270000 D+4.000000   ; Drill 4mm x 270mm
T72    P0     Z+188.135000 D+0.000000   ; Drill 2mm x 220mm
T73    P0     Z+234.959000 D+0.000000   ; End Mill 4mmx150 DC06-150
T81    P0     Z+192.645000 D+0.000000   ; 2mm Flat
T83    P0     Z+192.489000 D+0.000000   ; End Mill 2.5 x 40mm
T91    P0     Z+234.406000 D+0.000000   ; 4mm Flat
T92    P0     Z+205.782000 D+0.000000   ; 4mm flat
T93    P0     Z+121.525507 D+0.000000   ; Cut_up3-1F-DC06-90
T94    P0     Z+196.417000 D+0.000000   ; ucut_6_2f-dc06-150
T95    P0     Z+121.109393 D+0.000000   ; Cutter_D3-2F
T99    P0     Z+235.435000 D+0.000000   ; EM-4-4-DC06-150
T111   P0     Z+116.294000 D+0.000000   ; Fusion 50mm Face - Flat Insert
T112   P0     Z+171.122000 D+0.000000   ; EM20_L120
T90    P0     Z+199.675000 D+0.000000   ; Up_cut3
