epoch,iso_time,monotonic,event,raw_count,mux_count,gated_count,raw,mux,gate_enable,ignore_active,abnormal_level,fault_event,gated,motion_probe_input,motion_type,task_state,task_mode,interp_state,exec_state,current_line,motion_line,probe_val,inpos,current_vel,x,y,z,b,c,file
1787765283.133886,2026-08-27T00:28:03.133+07:00,480615.741958,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1787765284.143197,2026-08-27T00:28:04.143+07:00,480616.751582,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1787765285.143194,2026-08-27T00:28:05.143+07:00,480617.751586,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1787765286.153177,2026-08-27T00:28:06.153+07:00,480618.761581,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1787765287.163105,2026-08-27T00:28:07.163+07:00,480619.771532,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765288.163166,2026-08-27T00:28:08.163+07:00,480620.771578,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765289.173151,2026-08-27T00:28:09.173+07:00,480621.781532,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765290.173180,2026-08-27T00:28:10.173+07:00,480622.781581,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765291.173385,2026-08-27T00:28:11.173+07:00,480623.781594,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765292.183150,2026-08-27T00:28:12.183+07:00,480624.791576,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765293.193139,2026-08-27T00:28:13.193+07:00,480625.801573,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765294.203386,2026-08-27T00:28:14.203+07:00,480626.811600,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765295.213143,2026-08-27T00:28:15.213+07:00,480627.821573,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765296.223141,2026-08-27T00:28:16.223+07:00,480628.831543,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765297.223181,2026-08-27T00:28:17.223+07:00,480629.831582,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765298.233145,2026-08-27T00:28:18.233+07:00,480630.841573,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765299.233146,2026-08-27T00:28:19.233+07:00,480631.841573,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765300.233174,2026-08-27T00:28:20.233+07:00,480632.841578,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765301.243166,2026-08-27T00:28:21.243+07:00,480633.851578,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765302.243163,2026-08-27T00:28:22.243+07:00,480634.851580,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
1787765303.253312,2026-08-27T00:28:23.253+07:00,480635.861595,heartbeat,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,/home/cnc5/dev/probe_basic/example_gcode/blank.ngc
