schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082404.000000,23.000000,1.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.996367,844.034833,-302.503949,-0.009771,-0.005000,0.010976,30.116333,0.021196,0.000003,0.000000,0.058169,0.058169,4.981834,3.990229,3.936833,3.946833
1.0,2026082404.000000,23.000000,1.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.067910,844.038028,-302.497611,0.001752,0.000000,0.001752,30.128288,0.001823,0.000000,0.000000,0.064144,0.064144,5.000167,4.001752,3.935856,3.935856
1.0,2026082404.000000,23.000000,1.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.110792,844.092228,-302.485445,-0.000444,0.000413,0.000606,30.143834,0.000813,0.000000,0.000000,0.071917,0.071917,4.999333,3.999556,3.928496,3.927670
1.0,2026082404.000000,23.000000,1.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.116993,844.181488,-302.468269,0.006752,0.001250,0.006867,30.124121,0.004591,0.000001,0.000000,0.062062,0.062062,4.999329,4.006752,3.939190,3.936689
1.0,2026082404.000000,23.000000,1.000000,5.000000,100.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.158522,844.241469,-302.461936,-0.000924,-0.002502,0.002667,30.138019,0.003141,0.000000,0.000000,0.069010,0.069010,4.998500,3.999076,3.928489,3.933492
1.0,2026082404.000000,23.000000,1.000000,6.000000,100.000000,6.000000,0.000000,4.0,1.000000,0.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.104677,844.266559,-302.464769,0.004252,0.005834,0.007219,30.201623,0.007259,0.000001,0.000000,0.100812,0.100813,5.000167,4.004252,3.905023,3.893354
1.0,2026082404.000000,23.000000,1.000000,7.000000,100.000000,7.000000,0.000000,4.0,1.000000,0.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.060522,844.183104,-302.478433,0.000776,0.004195,0.004267,30.296338,0.004562,0.000000,0.000000,0.148169,0.148169,5.001830,4.000776,3.856027,3.847636
1.0,2026082404.000000,23.000000,1.000000,8.000000,100.000000,8.000000,0.000000,4.0,1.000000,0.000000,315.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.009759,844.129539,-302.493766,0.001752,0.002917,0.003403,30.202455,0.003749,0.000000,0.000000,0.101227,0.101227,4.998500,4.001752,3.901690,3.895856
1.0,2026082404.000000,23.000000,1.000000,9.000000,100.000000,9.000000,1.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.006139,844.037862,-302.506600,0.007729,-0.005000,0.009205,30.113000,0.009282,0.000002,0.000000,0.056502,0.056502,4.999333,4.007729,3.938500,3.948500
1.0,2026082404.000000,23.000000,1.000000,10.000000,5.000000,1.000000,0.000000,4.0,1.000000,5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.058167,844.020837,-302.489757,-0.001685,0.001680,0.002379,30.106333,0.001835,0.000000,0.000000,0.053167,0.053167,4.999345,3.998315,3.948514,3.945153
1.0,2026082404.000000,23.000000,1.000000,11.000000,5.000000,2.000000,0.000000,4.0,1.000000,5.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.087162,844.015427,-302.492393,-0.001882,0.002514,0.003141,30.183285,0.003655,0.000000,0.000000,0.091643,0.091643,4.999327,3.998118,3.910872,3.905843
1.0,2026082404.000000,23.000000,1.000000,12.000000,5.000000,3.000000,0.000000,4.0,1.000000,5.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.107302,844.102596,-302.481994,-0.001524,0.007515,0.007668,30.122564,0.008526,0.000002,0.000002,0.061282,0.061282,4.997688,3.998476,3.946232,3.931203
1.0,2026082404.000000,23.000000,1.000000,13.000000,5.000000,4.000000,0.000000,4.0,1.000000,5.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.109477,844.245437,-302.463764,-0.002714,-0.005801,0.006404,30.123834,0.006747,0.000001,0.000000,0.061917,0.061917,4.999369,3.997286,3.932282,3.943884
1.0,2026082404.000000,23.000000,1.000000,14.000000,5.000000,5.000000,0.000000,4.0,1.000000,5.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.040720,844.279127,-302.467961,0.000668,-0.003318,0.003385,30.164955,0.003387,0.000000,0.000000,0.082477,0.082477,4.999342,4.000668,3.914205,3.920841
1.0,2026082404.000000,23.000000,1.000000,15.000000,5.000000,6.000000,0.000000,4.0,1.000000,5.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.048769,844.200105,-302.476832,-0.001292,0.006863,0.006984,30.297493,0.005562,0.000001,0.000000,0.148747,0.148747,4.998400,3.998708,3.858116,3.844390
1.0,2026082404.000000,23.000000,1.000000,16.000000,5.000000,7.000000,1.000000,4.0,1.000000,5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.052306,844.021722,-302.488370,-0.003351,-0.002486,0.004172,30.111335,0.003293,0.000000,0.000000,0.055668,0.055668,5.001012,3.996649,3.941847,3.946818
1.0,2026082404.000000,23.000000,1.000000,17.000000,-5.000000,1.000000,0.000000,4.0,2.000000,-5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.154202,844.048438,-302.504064,-0.002356,0.000924,0.002531,30.116545,0.002121,0.000000,0.000000,0.058273,0.058272,4.998510,4.002356,3.942652,3.940804
1.0,2026082404.000000,23.000000,1.000000,18.000000,-5.000000,2.000000,0.000000,4.0,2.000000,-5.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.189785,844.141396,-302.493966,-0.004709,0.000819,0.004780,30.103285,0.003940,0.000000,0.000000,0.051643,0.051644,4.998510,4.004709,3.949177,3.947538
1.0,2026082404.000000,23.000000,1.000000,19.000000,-5.000000,3.000000,0.000000,4.0,2.000000,-5.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.114527,844.238324,-302.479153,0.001649,-0.002619,0.003095,30.133209,0.003016,0.000000,0.000000,0.066605,0.066605,5.000991,3.998351,3.930776,3.936015
1.0,2026082404.000000,23.000000,1.000000,20.000000,-5.000000,4.000000,0.000000,4.0,2.000000,-5.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.983844,844.218480,-302.438871,-0.001155,-0.001057,0.001565,30.135914,0.002763,0.000000,0.000000,0.067957,0.067957,5.001880,4.001155,3.930986,3.933100
1.0,2026082404.000000,23.000000,1.000000,21.000000,-5.000000,5.000000,0.000000,4.0,2.000000,-5.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.033307,844.106567,-302.450414,-0.000493,-0.005847,0.005868,30.168289,0.006131,0.000000,0.000000,0.084145,0.084145,5.000172,4.000493,3.910008,3.921703
1.0,2026082404.000000,23.000000,1.000000,22.000000,-5.000000,6.000000,0.000000,4.0,2.000000,-5.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.066676,844.019202,-302.469893,-0.003386,-0.000650,0.003447,30.285088,0.004043,0.000000,0.000000,0.142544,0.142544,4.999245,4.003386,3.856807,3.858106
1.0,2026082404.000000,23.000000,1.000000,23.000000,-5.000000,7.000000,1.000000,4.0,2.000000,-5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.155082,844.051437,-302.503501,0.004311,0.003423,0.005504,30.114876,0.006609,0.000000,0.000000,0.057438,0.057438,4.998510,3.995689,3.945985,3.939139
1.0,2026082404.000000,23.000000,1.000000,24.000000,10.000000,1.000000,0.000000,4.0,1.000000,10.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.152158,844.036124,-302.502525,0.008037,0.002530,0.008425,30.121332,0.008952,0.000002,0.000000,0.060669,0.060667,5.001870,4.008037,3.941864,3.936805
