schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082404.000000,23.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1025.006138,844.039833,-279.658691,0.044120,0.044121,0.000000,-0.037574,-0.037574,0.000000,-290.910291,-290.910291,0.000000
1.0,2026082404.000000,23.000000,1.000000,2.000000,0.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,45.000000,44.999977,-360.000010,-44.999977,1025.066671,844.036788,-279.652353,-18.968771,-18.968771,0.000000,-7.416437,-7.416437,0.000000,-290.903953,-290.903953,0.000000
1.0,2026082404.000000,23.000000,1.000000,3.000000,0.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,90.000000,89.999633,-360.000010,-89.999633,1025.111205,844.092672,-279.640187,-27.195695,-27.195694,0.000000,-26.062994,-26.062994,0.000000,-290.891787,-290.891787,0.000000
1.0,2026082404.000000,23.000000,1.000000,4.000000,0.000000,135.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,135.000000,134.999977,-360.000010,-134.999977,1025.122651,844.177597,-279.623011,-19.808430,-19.808430,0.000000,-45.051494,-45.051494,0.000000,-290.874611,-290.874611,0.000000
1.0,2026082404.000000,23.000000,1.000000,5.000000,0.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,180.000000,180.001007,-360.000010,-180.001007,1025.157598,844.238968,-279.616678,-1.071043,-1.071043,0.000000,-53.261580,-53.261580,0.000000,-290.868278,-290.868278,0.000000
1.0,2026082404.000000,23.000000,1.000000,6.000000,0.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,225.000000,224.999977,-360.000010,-224.999977,1025.103559,844.273691,-279.619511,17.948343,17.948342,0.000000,-45.851038,-45.851038,0.000000,-290.871111,-290.871111,0.000000
1.0,2026082404.000000,23.000000,1.000000,7.000000,0.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,270.000000,270.001007,-359.999667,-270.001007,1025.056327,844.183880,-279.633175,26.172568,26.172567,0.000000,-27.238410,-27.238410,0.000000,-290.884775,-290.884775,0.000000
1.0,2026082404.000000,23.000000,1.000000,8.000000,0.000000,315.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,315.000000,314.999977,-360.000010,-314.999977,1025.006458,844.128716,-279.648508,18.746880,18.746880,0.000000,-8.220149,-8.220149,0.000000,-290.900109,-290.900109,0.000000
1.0,2026082404.000000,23.000000,1.000000,9.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1024.998410,844.042862,-279.661342,0.036392,0.036392,0.000000,-0.034546,-0.034546,0.000000,-290.912942,-290.912942,0.000000
1.0,2026082404.000000,23.000000,1.000000,10.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,0.000000,-0.000023,-354.999858,0.000023,1027.050941,844.019156,-279.731579,37.734776,37.734776,0.000000,-0.082759,-0.082759,0.000000,-292.594928,-292.594928,0.000000
