schema_version,campaign_id,stage_mode,attempt_id,next_global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,prior_ready_raw_count,prior_ready_mux_count,prior_ready_gated_count,current_pre_raw_count,current_pre_mux_count,current_pre_gated_count,gap_raw_delta,gap_mux_delta,gap_gated_delta,prior_contact_extra_delta,combined_extra_delta,burst_flag,consistency_fault,initial_baseline
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,944.000000,944.000000,433.000000,944.000000,944.000000,433.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,2.000000,945.000000,945.000000,434.000000,945.000000,945.000000,434.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,3.000000,946.000000,946.000000,435.000000,946.000000,946.000000,435.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,4.000000,947.000000,947.000000,436.000000,947.000000,947.000000,436.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,2.000000,1.000000,948.000000,948.000000,437.000000,948.000000,948.000000,437.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,2.000000,2.000000,952.000000,952.000000,438.000000,955.000000,955.000000,438.000000,3.000000,3.000000,0.000000,3.000000,6.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,2.000000,3.000000,957.000000,957.000000,439.000000,957.000000,957.000000,439.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,2.000000,4.000000,958.000000,958.000000,440.000000,958.000000,958.000000,440.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,1.000000,1.000000,960.000000,960.000000,441.000000,960.000000,960.000000,441.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,1.000000,2.000000,961.000000,961.000000,442.000000,961.000000,961.000000,442.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,1.000000,3.000000,962.000000,962.000000,443.000000,962.000000,962.000000,443.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,1.000000,4.000000,963.000000,963.000000,444.000000,963.000000,963.000000,444.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,2.000000,1.000000,964.000000,964.000000,445.000000,964.000000,964.000000,445.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
