schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082701.000000,40.000000,6.000000,10.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,0.000000,-0.000023,5.000142,-359.999977,2502.920301,696.559072,-279.816265,1541.036749,1541.036749,0.000000,212.470695,212.470695,0.000000,428.437445,428.437445,0.000000
1.0,2026082701.000000,40.000000,6.000000,11.000000,5.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,45.000000,45.000320,5.000142,-404.999977,2502.388777,697.949784,-279.809577,1510.998045,1510.998045,0.000000,231.684073,231.684073,0.000000,428.439722,428.439722,0.000000
1.0,2026082701.000000,40.000000,6.000000,12.000000,5.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,90.000000,89.999977,4.999799,-449.999633,2501.093275,698.495829,-279.799862,1476.214309,1476.214309,0.000000,224.004436,224.004436,0.000000,428.453729,428.453729,0.000000
1.0,2026082701.000000,40.000000,6.000000,13.000000,5.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,180.000000,180.000320,4.999799,-540.000320,2499.170434,696.601343,-279.798323,1464.684229,1464.684229,0.000000,159.217450,159.217450,0.000000,428.476341,428.476341,0.000000
1.0,2026082701.000000,40.000000,6.000000,14.000000,5.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,225.000000,224.999290,5.000142,-584.999290,2499.641025,695.233154,-279.802257,1494.658136,1494.658136,0.000000,140.032802,140.032802,0.000000,428.476754,428.476754,0.000000
1.0,2026082701.000000,40.000000,6.000000,15.000000,5.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,270.000000,269.998260,4.999799,-629.998260,2500.980087,694.648772,-279.801355,1529.481562,1529.481562,0.000000,147.680319,147.680319,0.000000,428.473302,428.473302,0.000000
1.0,2026082701.000000,40.000000,6.000000,16.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,0.000000,-0.000023,5.000142,-359.999977,2502.940047,696.552405,-279.814572,1541.056494,1541.056495,0.000000,212.464028,212.464028,0.000000,428.439138,428.439137,0.000000
1.0,2026082701.000000,40.000000,6.000000,17.000000,-5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,0.000000,-0.000023,-5.000163,-359.999977,2499.167143,696.532378,-279.820978,1465.988402,1465.988402,0.000000,212.492184,212.492184,0.000000,428.557545,428.557545,0.000000
1.0,2026082701.000000,40.000000,6.000000,18.000000,-5.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,45.000000,45.000320,-5.000163,-404.999977,2499.779802,695.207510,-279.819560,1457.950771,1457.950771,0.000000,178.622254,178.622254,0.000000,428.570627,428.570627,0.000000
1.0,2026082701.000000,40.000000,6.000000,19.000000,-5.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,90.000000,89.999633,-5.000163,-449.999977,2501.118600,694.685159,-279.810892,1476.206723,1476.206723,0.000000,148.994546,148.994546,0.000000,428.592402,428.592402,0.000000
