schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082701.000000,41.000000,7.000000,10.000000,24.000000,30.000000,10.000000,0.000000,0.004288,-0.010557,0.001820,0.011539,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-10.000000,31.000000,37.000000,-10.000000,0.000000,-0.029215,0.000350,-0.005861,0.029799,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,15.000000,38.000000,44.000000,15.000000,0.000000,-0.003753,0.002949,0.000981,0.004873,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-15.000000,45.000000,51.000000,-15.000000,0.000000,-0.001178,0.007494,-0.000637,0.007613,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,30.000000,52.000000,56.000000,30.000000,0.000000,-0.009114,0.019283,0.006572,0.022318,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-30.000000,57.000000,61.000000,-30.000000,0.000000,-0.010922,0.002658,-0.006690,0.013081,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,45.000000,62.000000,66.000000,45.000000,0.000000,-0.004256,-0.009468,-0.000491,0.010392,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-45.000000,67.000000,71.000000,-45.000000,0.000000,0.000874,-0.000536,0.004845,0.004953,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,905.000000,9.000000,72.000000,0.000000,0.000000,0.043892,-0.008225,0.023100,0.050277,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,60.000000,73.000000,77.000000,60.000000,0.000000,0.000000,0.002086,0.003764,0.004303,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-60.000000,78.000000,82.000000,-60.000000,0.000000,0.000985,0.009837,-0.009797,0.013918,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,90.000000,83.000000,87.000000,90.000000,0.000000,-0.011509,-0.002342,-0.005943,0.013163,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,-90.000000,88.000000,92.000000,-90.000000,0.000000,-0.000994,-0.005864,0.010671,0.012217,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,911.000000,1.000000,93.000000,0.000000,0.000000,0.052012,-0.000018,0.030935,0.060516,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,906.000000,72.000000,93.000000,0.000000,0.000000,0.004663,0.005191,0.008004,0.010619,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,912.000000,2.000000,94.000000,0.000000,45.000000,0.000227,-0.002313,0.029273,0.029365,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,913.000000,3.000000,95.000000,0.000000,90.000000,-0.003107,-0.011265,0.029262,0.031509,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,914.000000,4.000000,96.000000,0.000000,135.000000,-0.005716,-0.020454,0.032597,0.038905,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,915.000000,5.000000,97.000000,0.000000,180.000000,0.004087,-0.017953,0.031763,0.036714,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,916.000000,6.000000,98.000000,0.000000,225.000000,0.012087,-0.010003,0.032596,0.036176,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,917.000000,7.000000,99.000000,0.000000,270.000000,-0.000158,-0.008996,0.027597,0.029027,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,918.000000,8.000000,100.000000,0.000000,315.000000,-0.001043,-0.011060,0.031765,0.033651,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,919.000000,9.000000,101.000000,0.000000,0.000000,0.027130,-0.004805,0.033431,0.043322,0.100,1.000000
1.0,2026082701.000000,41.000000,7.000000,200.000000,93.000000,101.000000,0.000000,0.000000,-0.021425,-0.001771,0.002327,0.021623,0.050,1.000000
1.0,2026082701.000000,41.000000,7.000000,900.000000,1.000000,101.000000,0.000000,0.000000,0.030587,-0.001789,0.033262,0.045223,0.100,1.000000
