schema_version,campaign_id,stage_mode,attempt_id,sample_seq,model_id,expected_model_id,configured,valid,fault_code,q,evaluated_b_deg,evaluated_c_deg,evaluated_length_mm,diff_offset_x_mm,diff_offset_y_mm,diff_offset_z_mm,diff_offset_norm_mm,empirical_offset_x_mm,empirical_offset_y_mm,empirical_offset_z_mm,empirical_offset_norm_mm
1.0,2026082701.000000,41.000000,7.000000,24.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.010855,0.026471,0.003423,0.028814
1.0,2026082701.000000,41.000000,7.000000,25.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.005765,0.055994,0.015322,0.058338
1.0,2026082701.000000,41.000000,7.000000,26.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.020711,0.038612,0.014446,0.046136
1.0,2026082701.000000,41.000000,7.000000,27.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,180.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.064096,-0.067538,-0.015654,0.094418
1.0,2026082701.000000,41.000000,7.000000,28.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,225.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.067228,-0.104129,-0.028293,0.127134
1.0,2026082701.000000,41.000000,7.000000,29.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,270.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.048988,-0.093828,-0.028159,0.109528
1.0,2026082701.000000,41.000000,7.000000,30.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,10.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.010855,0.026471,0.003423,0.028814
1.0,2026082701.000000,41.000000,7.000000,31.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-10.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.004760,-0.008571,-0.014210,0.017264
1.0,2026082701.000000,41.000000,7.000000,32.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-10.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.012107,-0.076599,-0.034336,0.084811
1.0,2026082701.000000,41.000000,7.000000,33.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-10.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.025521,-0.136732,-0.052775,0.148769
