schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082701.000000,41.000000,7.000000,24.000000,10.000000,1.000000,0.000000,4.0,1.000000,10.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.088154,696.567867,-302.543837,0.000586,0.006695,0.006721,30.158000,0.007474,0.000001,0.000001,0.079000,0.079000,4.996871,4.000586,3.927695,3.914305
1.0,2026082701.000000,41.000000,7.000000,25.000000,10.000000,2.000000,0.000000,4.0,1.000000,10.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.018519,696.533698,-302.548119,-0.007072,0.010460,0.012626,30.148285,0.011594,0.000004,0.000003,0.074143,0.074144,4.999315,3.992928,3.936317,3.915398
1.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,3.000000,0.000000,4.0,1.000000,10.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.083644,696.525962,-302.532756,-0.001130,-0.000401,0.001199,30.094667,0.002539,0.000000,0.000000,0.047334,0.047334,4.997676,3.998870,3.952266,3.953067
1.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,4.000000,0.000000,4.0,1.000000,10.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.217237,696.584583,-302.511334,-0.001649,-0.000388,0.001694,30.139691,0.002402,0.000000,0.000000,0.069846,0.069846,5.001898,3.998351,3.929767,3.930542
1.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,5.000000,0.000000,4.0,1.000000,10.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.122540,696.644646,-302.534767,0.000896,-0.008734,0.008780,30.092480,0.007975,0.000002,0.000003,0.046240,0.046240,5.001093,4.000896,3.945026,3.962494
1.0,2026082701.000000,41.000000,7.000000,29.000000,10.000000,6.000000,0.000000,4.0,1.000000,10.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.999508,696.647409,-302.531139,0.001432,0.001138,0.001829,30.168000,0.002841,0.000000,0.000000,0.084000,0.084000,4.999231,4.001432,3.917138,3.914862
1.0,2026082701.000000,41.000000,7.000000,30.000000,10.000000,7.000000,1.000000,4.0,1.000000,10.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.092441,696.557310,-302.542016,-0.008630,0.000029,0.008630,30.149667,0.008423,0.000002,0.000000,0.074836,0.074836,4.998537,3.991370,3.925195,3.925138
1.0,2026082701.000000,41.000000,7.000000,31.000000,-10.000000,1.000000,0.000000,4.0,2.000000,-10.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.215642,696.529908,-302.542698,-0.001244,-0.004401,0.004573,30.127588,0.004666,0.000000,0.000000,0.063794,0.063794,5.000199,4.001244,3.931805,3.940607
1.0,2026082701.000000,41.000000,7.000000,32.000000,-10.000000,2.000000,0.000000,4.0,2.000000,-10.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.159450,696.625316,-302.546822,-0.008946,0.006011,0.010778,30.167876,0.009007,0.000003,0.000000,0.083940,0.083940,4.999371,4.008946,3.922073,3.910051
1.0,2026082701.000000,41.000000,7.000000,33.000000,-10.000000,3.000000,0.000000,4.0,2.000000,-10.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.135192,696.642778,-302.549224,0.011099,-0.011489,0.015975,30.062589,0.015724,0.000007,0.000003,0.031298,0.031298,4.998560,3.988901,3.957216,3.980195
