schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082401.000000,20.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4.0,1.0,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1023.944671,443.396038,-403.271046,-0.007469,0.000834,0.007515,30.168000,0.007501,0.000002,0.000000,0.084002,0.084002,4.999333,3.992531,3.916834,3.915166
1.0,2026082401.000000,20.000000,1.000000,2.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.000775,443.377640,-403.261240,0.004237,0.001755,0.004586,30.168000,0.005716,0.000000,0.000000,0.084000,0.084000,4.996697,4.004237,3.917755,3.914245
1.0,2026082401.000000,20.000000,1.000000,3.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1023.922446,443.553952,-403.165561,-0.002316,0.000922,0.002493,30.130383,0.004774,0.000000,0.000000,0.065192,0.065192,4.995751,3.997684,3.935730,3.933887
1.0,2026082401.000000,20.000000,1.000000,4.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.051834,443.477037,-403.189582,0.002571,0.001404,0.002929,30.175140,0.009678,0.000000,0.000000,0.087570,0.087570,5.009197,4.002571,3.913834,3.911026
1.0,2026082401.000000,20.000000,1.000000,5.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1023.959222,443.329249,-403.261393,0.000565,-0.007470,0.007492,30.265513,0.002182,0.000002,0.000004,0.132757,0.132757,4.999649,4.000565,3.859773,3.874714
1.0,2026082401.000000,20.000000,1.000000,6.000000,45.000000,2.000000,1.000000,4.0,1.0,45.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.007156,443.381865,-403.261093,0.002571,-0.001399,0.002926,30.167640,0.003870,0.000000,0.000000,0.083820,0.083820,5.002530,4.002571,3.914781,3.917578
1.0,2026082401.000000,20.000000,1.000000,7.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.034460,443.354686,-403.111648,0.001055,-0.000709,0.001271,30.168000,0.003728,0.000000,0.000000,0.084000,0.084000,5.003511,4.001055,3.915291,3.916709
1.0,2026082401.000000,20.000000,1.000000,8.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.034525,443.315838,-403.118690,0.001889,-0.001125,0.002199,30.130500,0.002283,0.000000,0.000000,0.065250,0.065250,4.999344,4.001889,3.933625,3.935875
1.0,2026082401.000000,20.000000,1.000000,9.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.403728,443.435457,-403.097581,-0.001442,-0.004548,0.004771,30.175923,0.014927,0.000000,0.000000,0.087962,0.087962,5.014820,3.998558,3.907491,3.916586
1.0,2026082401.000000,20.000000,1.000000,10.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.121344,443.310886,-403.157278,-0.000612,-0.012612,0.012627,30.278113,0.002765,0.000004,0.000009,0.139057,0.139057,5.001451,3.999388,3.848332,3.873555
1.0,2026082401.000000,20.000000,1.000000,11.000000,90.000000,7.000000,1.000000,4.0,1.0,90.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.060994,443.361384,-403.111820,0.002722,-0.000292,0.002738,30.170500,0.004105,0.000000,0.000000,0.085250,0.085250,4.996006,4.002722,3.914458,3.915042
1.0,2026082401.000000,20.000000,1.000000,12.000000,190.000000,1.000000,1.000000,4.0,1.0,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1023.963172,443.401801,-403.265487,0.005211,-0.001249,0.005359,30.170501,0.005705,0.000000,0.000000,0.085251,0.085252,5.001833,4.005211,3.913500,3.915998
