schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082401.000000,20.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,-359.999977,1023.952140,443.395204,-380.388704,27.321740,27.321740,0.000000,47.971004,47.971004,0.000000,-7.125704,-7.125704,0.000000
1.0,2026082401.000000,20.000000,1.000000,2.000000,45.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,45.000000,45.000333,0.000000,-0.000023,-315.000010,-360.000320,1040.178038,443.375885,-387.077984,261.261149,261.261149,0.000000,47.756083,47.756083,0.000000,-104.500046,-104.500046,0.000000
1.0,2026082401.000000,20.000000,1.000000,3.000000,45.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,45.000000,44.999990,90.000000,89.999633,-315.000010,-449.999633,1023.923367,459.735849,-386.986940,0.033631,0.033631,0.000000,255.657798,255.657798,0.000000,-104.497102,-104.497102,0.000000
1.0,2026082401.000000,20.000000,1.000000,4.000000,45.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,45.000000,44.999990,180.000000,179.999633,-315.000010,-539.999633,1007.873393,443.478441,-387.007505,-207.815418,-207.815419,0.000000,-5.425718,-5.425718,0.000000,-104.455343,-104.455343,0.000000
1.0,2026082401.000000,20.000000,1.000000,5.000000,45.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,45.000000,44.999990,270.000000,269.998260,-315.000010,-629.997917,1023.966692,427.149390,-387.080734,53.261111,53.261111,0.000000,-213.146632,-213.146632,0.000000,-104.408011,-104.408011,0.000000
1.0,2026082401.000000,20.000000,1.000000,6.000000,45.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,45.000000,44.999990,0.000000,-0.000023,-315.000010,-359.999977,1040.185597,443.383264,-387.079017,261.268709,261.268709,0.000000,47.763462,47.763462,0.000000,-104.501078,-104.501078,0.000000
1.0,2026082401.000000,20.000000,1.000000,7.000000,90.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,90.000000,89.999990,0.000000,0.000320,-270.000010,-359.999977,1046.916802,443.355395,-403.110593,357.704244,357.704244,0.000000,47.619027,47.619027,0.000000,-338.637192,-338.637192,0.000000
1.0,2026082401.000000,20.000000,1.000000,8.000000,90.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,90.000000,89.999990,90.000000,89.999977,-270.000010,-449.999977,1024.033399,466.198180,-403.116802,0.131513,0.131513,0.000000,351.937298,351.937298,0.000000,-338.734422,-338.734422,0.000000
1.0,2026082401.000000,20.000000,1.000000,9.000000,90.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,90.000000,89.999990,180.000000,179.999977,-270.000010,-539.999977,1001.521386,443.430909,-403.099023,-304.107295,-304.107295,0.000000,-5.448689,-5.448689,0.000000,-338.661881,-338.661881,0.000000
1.0,2026082401.000000,20.000000,1.000000,10.000000,90.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,90.000000,89.999990,270.000000,270.001007,-270.000010,-630.001007,1024.133956,420.428544,-403.157890,53.230050,53.230050,0.000000,-309.414789,-309.414789,0.000000,-338.518899,-338.518899,0.000000
1.0,2026082401.000000,20.000000,1.000000,11.000000,90.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,90.000000,89.999990,0.000000,-0.000023,-270.000010,-359.999977,1046.943336,443.361677,-403.109098,357.730778,357.730778,0.000000,47.625309,47.625309,0.000000,-338.635698,-338.635698,0.000000
1.0,2026082401.000000,20.000000,1.000000,12.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,-359.999977,1023.957961,443.403050,-380.383145,27.327561,27.327561,0.000000,47.978850,47.978850,0.000000,-7.120145,-7.120145,0.000000
