schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082701.000000,35.000000,1.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.996005,696.544348,-302.568386,-0.011437,-0.010833,0.015753,30.131333,0.030092,0.000007,0.000003,0.065670,0.065670,4.974333,3.988563,3.923500,3.945166
1.0,2026082701.000000,35.000000,1.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.078432,696.559026,-302.564553,0.011752,-0.000833,0.011782,30.119963,0.011704,0.000004,0.000000,0.059985,0.059985,4.999333,4.011752,3.939186,3.940852
1.0,2026082701.000000,35.000000,1.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.136767,696.533971,-302.556554,0.013243,0.013750,0.019091,30.082151,0.018979,0.000010,0.000005,0.041081,0.041080,4.998500,4.013243,3.972674,3.945174
1.0,2026082701.000000,35.000000,1.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.156100,696.577698,-302.549388,-0.002415,-0.009992,0.010280,30.091629,0.010263,0.000003,0.000003,0.045815,0.045815,4.998500,3.997585,3.944193,3.964178
1.0,2026082701.000000,35.000000,1.000000,5.000000,100.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.111862,696.619361,-302.545554,-0.010091,-0.003742,0.010762,30.137166,0.011021,0.000003,0.000000,0.068586,0.068585,4.999333,3.989909,3.927675,3.935159
1.0,2026082701.000000,35.000000,1.000000,6.000000,100.000000,6.000000,0.000000,4.0,1.000000,0.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.067767,696.633575,-302.547555,-0.001775,0.001262,0.002178,30.167455,0.002498,0.000000,0.000000,0.083727,0.083727,4.998500,3.998225,3.917535,3.915010
1.0,2026082701.000000,35.000000,1.000000,7.000000,100.000000,7.000000,0.000000,4.0,1.000000,0.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.032779,696.635044,-302.555389,0.003170,0.000407,0.003196,30.208877,0.002666,0.000000,0.000000,0.104438,0.104439,5.001000,4.003170,3.895969,3.895155
1.0,2026082701.000000,35.000000,1.000000,8.000000,100.000000,8.000000,0.000000,4.0,1.000000,0.000000,315.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.989968,696.603642,-302.564056,0.000919,0.001667,0.001903,30.146621,0.001942,0.000000,0.000000,0.073311,0.073311,5.000167,4.000919,3.928356,3.925022
1.0,2026082701.000000,35.000000,1.000000,9.000000,100.000000,9.000000,1.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.004768,696.551145,-302.567719,-0.003104,-0.010000,0.010470,30.163000,0.011427,0.000003,0.000003,0.081500,0.081500,4.999329,3.996896,3.908500,3.928500
1.0,2026082701.000000,35.000000,1.000000,10.000000,5.000000,1.000000,0.000000,4.0,1.000000,5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.989921,696.561819,-302.561741,0.002482,0.020015,0.020168,30.169665,0.019903,0.000011,0.000011,0.084833,0.084832,5.000994,4.002482,3.935182,3.895153
1.0,2026082701.000000,35.000000,1.000000,11.000000,5.000000,2.000000,0.000000,4.0,1.000000,5.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.022112,696.541316,-302.556108,-0.003020,-0.001455,0.003352,30.131658,0.004483,0.000000,0.000000,0.065830,0.065829,5.000202,3.996980,3.932716,3.935626
1.0,2026082701.000000,35.000000,1.000000,12.000000,5.000000,3.000000,0.000000,4.0,1.000000,5.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.140548,696.518978,-302.547899,-0.001365,0.002406,0.002766,30.052348,0.003671,0.000000,0.000000,0.026174,0.026174,4.997707,3.998635,3.976232,3.971420
1.0,2026082701.000000,35.000000,1.000000,13.000000,5.000000,4.000000,0.000000,4.0,1.000000,5.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.185953,696.592977,-302.544305,0.002163,-0.008952,0.009210,30.156298,0.008667,0.000002,0.000002,0.078149,0.078149,4.998536,4.002163,3.912899,3.930803
1.0,2026082701.000000,35.000000,1.000000,14.000000,5.000000,5.000000,0.000000,4.0,1.000000,5.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.088919,696.636159,-302.547130,0.001256,0.016773,0.016820,30.113034,0.017220,0.000008,0.000009,0.056517,0.056517,5.001026,4.001256,3.960256,3.926710
1.0,2026082701.000000,35.000000,1.000000,15.000000,5.000000,6.000000,0.000000,4.0,1.000000,5.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.035338,696.634294,-302.549261,0.001256,-0.000673,0.001425,30.204086,0.000757,0.000000,0.000000,0.102043,0.102043,4.999397,4.001256,3.897284,3.898630
1.0,2026082701.000000,35.000000,1.000000,16.000000,5.000000,7.000000,1.000000,4.0,1.000000,5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.993779,696.558520,-302.559363,-0.015851,-0.001652,0.015937,30.166331,0.016970,0.000007,0.000000,0.083172,0.083174,4.999341,3.984149,3.915182,3.918486
1.0,2026082701.000000,35.000000,1.000000,17.000000,-5.000000,1.000000,0.000000,4.0,2.000000,-5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.211649,696.532630,-302.571603,0.009310,-0.009181,0.013075,30.121332,0.012196,0.000005,0.000002,0.060669,0.060668,5.000172,3.990690,3.930153,3.948515
