schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082701.000000,35.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-0.000010,-360.000320,2501.007443,696.555181,-279.723128,1503.478043,1503.478043,0.000000,212.493181,212.493181,0.000000,430.147872,430.147872,0.000000
1.0,2026082701.000000,35.000000,1.000000,2.000000,0.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,45.000000,45.000320,-0.000010,-405.000320,2501.069533,696.551305,-279.719295,1484.460720,1484.460720,0.000000,205.128918,205.128918,0.000000,430.155171,430.155171,0.000000
1.0,2026082701.000000,35.000000,1.000000,3.000000,0.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,90.000000,89.999633,-0.000010,-449.999290,2501.150517,696.520728,-279.711296,1476.255779,1476.255779,0.000000,186.433188,186.433188,0.000000,430.171547,430.171547,0.000000
1.0,2026082701.000000,35.000000,1.000000,4.000000,0.000000,135.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,135.000000,135.001693,-0.000010,-495.001693,2501.147327,696.572339,-279.704130,1483.613934,1483.613935,0.000000,167.448674,167.448674,0.000000,430.187092,430.187092,0.000000
1.0,2026082701.000000,35.000000,1.000000,5.000000,0.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,180.000000,179.999290,-0.000010,-539.999290,2501.101772,696.615619,-279.700296,1502.264818,1502.264818,0.000000,159.235960,159.235960,0.000000,430.194399,430.194399,0.000000
1.0,2026082701.000000,35.000000,1.000000,6.000000,0.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,225.000000,224.999290,-0.000010,-584.998947,2501.065619,696.633213,-279.702297,1521.308079,1521.308079,0.000000,166.613941,166.613941,0.000000,430.188932,430.188932,0.000000
1.0,2026082701.000000,35.000000,1.000000,7.000000,0.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,270.000000,270.002723,-0.000010,-630.002723,2501.032371,696.638214,-279.710131,1529.560756,1529.560756,0.000000,185.284095,185.284095,0.000000,430.172722,430.172722,0.000000
1.0,2026082701.000000,35.000000,1.000000,8.000000,0.000000,315.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,315.000000,314.999977,-0.000010,-674.999977,2500.988140,696.603113,-279.718798,1522.155179,1522.155179,0.000000,204.285119,204.285119,0.000000,430.155676,430.155676,0.000000
1.0,2026082701.000000,35.000000,1.000000,9.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-0.000010,-359.999977,2501.007872,696.561144,-279.722461,1503.478472,1503.478472,0.000000,212.499144,212.499144,0.000000,430.148539,430.148539,0.000000
1.0,2026082701.000000,35.000000,1.000000,10.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,0.000000,-0.000023,4.999799,-359.999977,2502.978544,696.541804,-279.803200,1541.094991,1541.094991,0.000000,212.453428,212.453428,0.000000,428.450510,428.450510,0.000000
