schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082701.000000,37.000000,3.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.988618,696.564347,-302.572720,0.000229,-0.004168,0.004175,30.184663,0.024361,0.000000,0.000000,0.092332,0.092332,4.976000,4.000229,3.903500,3.911837
1.0,2026082701.000000,37.000000,3.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.070101,696.541589,-302.571387,-0.002717,-0.003324,0.004293,30.108291,0.005028,0.000000,0.000000,0.054146,0.054145,4.997667,3.997283,3.942531,3.949178
1.0,2026082701.000000,37.000000,3.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.131749,696.502420,-302.564220,-0.015284,0.010419,0.018498,30.067179,0.018775,0.000010,0.000003,0.033596,0.033596,4.998500,3.984716,3.976829,3.955992
1.0,2026082701.000000,37.000000,3.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.128452,696.546956,-302.557053,0.013259,-0.000002,0.013259,30.148255,0.012700,0.000005,0.000000,0.074133,0.074132,4.999333,4.013259,3.925871,3.925874
1.0,2026082701.000000,37.000000,3.000000,5.000000,100.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.103508,696.603612,-302.554887,-0.007591,-0.015004,0.016814,30.137985,0.016955,0.000008,0.000006,0.068994,0.068994,5.001000,3.992409,3.916004,3.946011
1.0,2026082701.000000,37.000000,3.000000,6.000000,100.000000,6.000000,0.000000,4.0,1.000000,0.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.043293,696.640658,-302.553554,0.011399,-0.017089,0.020542,30.170808,0.020774,0.000012,0.000008,0.085407,0.085408,4.999333,4.011399,3.897507,3.931685
1.0,2026082701.000000,37.000000,3.000000,7.000000,100.000000,7.000000,0.000000,4.0,1.000000,0.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.020759,696.643143,-302.562220,-0.001048,0.018735,0.018764,30.220485,0.018717,0.000010,0.000010,0.110242,0.110242,4.999333,3.998952,3.908492,3.871023
1.0,2026082701.000000,37.000000,3.000000,8.000000,100.000000,8.000000,0.000000,4.0,1.000000,0.000000,315.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.961453,696.598739,-302.565887,-0.001581,-0.020418,0.020479,30.132458,0.020529,0.000012,0.000012,0.066229,0.066229,4.998500,3.998419,3.913353,3.954189
1.0,2026082701.000000,37.000000,3.000000,9.000000,100.000000,9.000000,1.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.984537,696.547489,-302.572887,0.036063,0.000417,0.036065,30.155500,0.036134,0.000036,0.000000,0.077786,0.077786,4.999333,4.036063,3.922667,3.921833
1.0,2026082701.000000,37.000000,3.000000,17.000000,-5.000000,1.000000,0.000000,4.0,2.000000,-5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2501.193259,696.543371,-302.575053,0.041026,0.004569,0.041280,30.138835,0.040387,0.000048,0.000000,0.069462,0.069467,4.994339,3.958974,3.935152,3.926014
1.0,2026082701.000000,37.000000,3.000000,20.000000,-5.000000,4.000000,0.000000,4.0,2.000000,-5.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,2500.966528,696.603528,-302.554729,-0.006364,0.001967,0.006661,30.126543,0.008764,0.000001,0.000000,0.063272,0.063273,4.996019,4.006364,3.938695,3.934762
