slot_id,abs_b_deg,abs_c_deg,role,status,reason
1,0,0,B0_group_open,required,
2,0,45,B0_measure,required,
3,0,90,B0_measure,required,
4,0,135,B0_measure,required,
5,0,180,B0_measure,required,
6,0,225,B0_measure,required,
7,0,270,B0_measure,required,
8,0,315,B0_measure,required,
9,0,0,B0_group_close,required,
10,5,0,B5_group_open,required,
11,5,45,B5_measure,required,watch_post_sector
12,5,90,B5_measure,required,
13,5,135,B5_unsafe_skip,unsafe_skip,sphere_post_collision_sector
14,5,180,B5_measure,required,
15,5,225,B5_measure,required,watch_post_sector
16,5,270,B5_measure,required,
17,5,315,B5_unsafe_skip,unsafe_skip,sphere_post_collision_sector
18,5,0,B5_group_close,required,
19,15,0,B15_group_open,required,
20,15,45,B15_measure,required,watch_post_sector
21,15,90,B15_measure,required,
22,15,135,B15_unsafe_skip,unsafe_skip,sphere_post_collision_sector
23,15,180,B15_measure,required,
24,15,225,B15_measure,required,watch_post_sector
25,15,270,B15_measure,required,
26,15,315,B15_unsafe_skip,unsafe_skip,sphere_post_collision_sector
27,15,0,B15_group_close,required,
28,30,0,B30_group_open,required,
29,30,45,B30_measure,required,verified_clearance_path
30,30,90,B30_measure,required,
31,30,135,B30_unsafe_skip,unsafe_skip,sphere_post_collision_sector
32,30,180,B30_measure,required,
33,30,225,B30_measure,required,verified_clearance_path
34,30,270,B30_measure,required,
35,30,315,B30_unsafe_skip,unsafe_skip,sphere_post_collision_sector
36,30,0,B30_group_close,required,
37,0,0,outer_B0_close,required,
