campaign_id,leg_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_corrected_diameter_mm,v_corrected_diameter_mm,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
2026082202.000000,1.000000,19.000000,3.000000,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.959086,443.385459,-403.267971,-0.002039,0.002084,30.217167,30.170500,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,-0.000320,1023.960083,443.384417,-380.385629,-223.257073,-223.257073,0.000000,-341.173183,-341.173183,0.000000,173.138171,173.138171,0.000000
2026082202.000000,1.000000,19.000000,3.000000,2.000000,0.000000,45.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.947470,443.414939,-403.263304,-0.000372,0.000417,30.157455,30.162454,128.606729,128.606729,128.606729,0.000000,-0.000010,45.000000,44.999977,-360.000010,-44.999977,1023.947733,443.414907,-380.380962,-242.342847,-242.342847,0.000000,-348.518511,-348.518511,0.000000,173.142838,173.142838,0.000000
2026082202.000000,1.000000,19.000000,3.000000,3.000000,0.000000,90.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.940167,443.448936,-403.254470,0.000718,0.002914,30.196333,30.135501,128.606729,128.606729,128.606729,0.000000,-0.000010,90.000000,90.000320,-360.000010,-90.000320,1023.941626,443.448936,-380.372129,-250.620412,-250.620411,0.000000,-367.186922,-367.186922,0.000000,173.151671,173.151671,0.000000
2026082202.000000,1.000000,19.000000,3.000000,4.000000,0.000000,135.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.903264,443.448937,-403.237299,0.003794,0.003750,30.152455,30.147455,128.606729,128.606729,128.606729,0.000000,-0.000010,135.000000,134.999977,-360.000010,-134.999977,1023.905947,443.448905,-380.354957,-243.280272,-243.280272,0.000000,-386.260378,-386.260378,0.000000,173.168843,173.168843,0.000000
2026082202.000000,1.000000,19.000000,3.000000,5.000000,0.000000,180.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.897785,443.441631,-403.230966,-0.001045,0.001239,30.209540,30.178833,128.606729,128.606729,128.606729,0.000000,-0.000010,180.000000,180.001007,-360.000010,-180.001007,1023.897525,443.442249,-380.348624,-224.586255,-224.586254,0.000000,-394.538491,-394.538491,0.000000,173.175176,173.175176,0.000000
2026082202.000000,1.000000,19.000000,3.000000,6.000000,0.000000,225.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.910685,443.409748,-403.232133,0.000461,-0.000002,30.214121,30.219958,128.606729,128.606729,128.606729,0.000000,-0.000010,225.000000,224.999977,-360.000010,-224.999977,1023.910893,443.409954,-380.349791,-205.499461,-205.499461,0.000000,-387.194968,-387.194968,0.000000,173.174009,173.174009,0.000000
2026082202.000000,1.000000,19.000000,3.000000,7.000000,0.000000,270.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.956735,443.371712,-403.242467,-0.003063,0.000415,30.193000,30.280580,128.606729,128.606729,128.606729,0.000000,-0.000010,270.000000,270.000320,-360.000010,-269.999977,1023.956510,443.370243,-380.360125,-197.182387,-197.182387,0.000000,-368.532240,-368.532240,0.000000,173.163675,173.163675,0.000000
2026082202.000000,1.000000,19.000000,3.000000,8.000000,0.000000,315.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.966449,443.363559,-403.254467,-0.000789,-0.002083,30.251621,30.222455,128.606729,128.606729,128.606729,0.000000,-0.000010,315.000000,314.999977,-360.000010,-314.999977,1023.967448,443.364032,-380.372125,-204.547267,-204.547267,0.000000,-349.465025,-349.465025,0.000000,173.151675,173.151675,0.000000
2026082202.000000,1.000000,19.000000,3.000000,9.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.961008,443.383106,-403.265634,-0.002872,0.000000,30.215500,30.168000,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1023.962421,443.383105,-380.383292,-223.254734,-223.254734,0.000000,-341.174495,-341.174495,0.000000,173.140508,173.140508,0.000000
2026082202.000000,1.000000,19.000000,3.000000,10.000000,5.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.993572,443.371691,-403.262152,-0.003276,-0.002906,30.279650,30.170502,128.606729,128.606729,128.606729,5.000000,4.999799,0.000000,-0.000023,-355.000201,-0.000320,1025.989458,443.373138,-380.467021,-194.367167,-194.367167,0.000000,-341.205213,-341.205213,0.000000,171.828605,171.828605,0.000000
