schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082601.000000,30.000000,1.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,-0.000010,0.000320,3.000000,128.606729,0.117658,6.000000,17.882342,1024.922789,844.051084,-403.273803,-0.016500,0.001667,0.016584,30.118000,0.025854,0.000008,0.000000,0.059008,0.059008,4.980167,3.983500,3.942667,3.939333
1.0,2026082601.000000,30.000000,1.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.980290,844.061098,-403.259132,-0.001295,0.001665,0.002109,30.129671,0.002096,0.000000,0.000000,0.064836,0.064836,4.999333,3.998705,3.936829,3.933500
1.0,2026082601.000000,30.000000,1.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.067049,844.156173,-403.234461,-0.000109,-0.000424,0.000438,30.133826,0.001616,0.000000,0.000000,0.066913,0.066913,4.998500,3.999891,3.932663,3.933511
1.0,2026082601.000000,30.000000,1.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.022436,844.147841,-403.246462,0.000244,-0.002100,0.002114,30.280497,0.002107,0.000000,0.000000,0.140248,0.140248,5.000167,4.000244,3.857652,3.861852
1.0,2026082601.000000,30.000000,1.000000,5.000000,100.000000,5.000000,1.000000,4.0,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.925485,844.057013,-403.274295,0.001878,0.000000,0.001878,30.118000,0.001930,0.000000,0.000000,0.059000,0.059000,5.000167,4.001878,3.941000,3.941000
1.0,2026082601.000000,30.000000,1.000000,6.000000,45.000000,1.000000,0.000000,4.0,1.000000,45.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.959197,844.049866,-403.260953,0.006737,-0.002412,0.007156,30.118000,0.011615,0.000001,0.000000,0.059001,0.059001,4.990864,4.006737,3.938588,3.943412
1.0,2026082601.000000,30.000000,1.000000,7.000000,45.000000,2.000000,0.000000,4.0,1.000000,45.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.976764,843.952953,-403.191552,0.000904,-0.005091,0.005170,30.129309,0.003850,0.000000,0.000000,0.064655,0.064655,4.999310,4.000904,3.930255,3.940436
1.0,2026082601.000000,30.000000,1.000000,8.000000,45.000000,3.000000,0.000000,4.0,1.000000,45.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.017536,844.185639,-403.179467,-0.001370,-0.005745,0.005906,30.133000,0.003424,0.000000,0.000000,0.066500,0.066500,5.000255,3.998630,3.927755,3.939245
1.0,2026082601.000000,30.000000,1.000000,9.000000,45.000000,4.000000,0.000000,4.0,1.000000,45.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.943967,844.092922,-403.258987,0.000635,-0.011162,0.011180,30.277388,0.001133,0.000003,0.000000,0.138694,0.138694,5.000933,4.000635,3.850144,3.872468
1.0,2026082601.000000,30.000000,1.000000,10.000000,45.000000,5.000000,1.000000,4.0,1.000000,45.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.955877,844.054525,-403.260377,-0.002429,-0.000745,0.002541,30.119667,0.003493,0.000000,0.000000,0.059834,0.059834,4.997530,3.997571,3.939421,3.940912
1.0,2026082601.000000,30.000000,1.000000,11.000000,-45.000000,1.000000,0.000000,4.0,2.000000,-45.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.186400,844.079173,-403.170139,0.010859,0.001995,0.011040,30.120500,0.011825,0.000003,0.000000,0.060253,0.060253,4.995849,3.989141,3.941745,3.937754
1.0,2026082601.000000,30.000000,1.000000,12.000000,-45.000000,2.000000,0.000000,4.0,2.000000,-45.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.955192,844.101449,-403.224189,0.000858,0.002594,0.002732,30.133364,0.001715,0.000000,0.000000,0.066682,0.066682,4.999069,3.999142,3.935912,3.930724
1.0,2026082601.000000,30.000000,1.000000,13.000000,-45.000000,3.000000,0.000000,4.0,2.000000,-45.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.797816,844.141487,-403.179513,-0.002247,0.003765,0.004385,30.135500,0.003756,0.000000,0.000000,0.067750,0.067750,4.998235,4.002247,3.936015,3.928484
1.0,2026082601.000000,30.000000,1.000000,14.000000,-45.000000,4.000000,0.000000,4.0,2.000000,-45.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.071981,843.586347,-403.124149,0.005212,-0.010226,0.011477,30.281183,0.012012,0.000004,0.000013,0.140593,0.140592,4.989861,3.994788,3.849183,3.869634
