schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082404.000000,26.000000,1.000000,100.000000,1.000000,9.000000,0.000000,0.000000,0.003748,0.013388,0.003164,0.014258,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,5.000000,10.000000,16.000000,5.000000,0.000000,0.001579,0.005002,-0.001251,0.005392,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-5.000000,17.000000,23.000000,-5.000000,0.000000,-0.011612,0.003690,0.001430,0.012267,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,10.000000,24.000000,30.000000,10.000000,0.000000,-0.002792,0.012304,0.003412,0.013070,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-10.000000,31.000000,37.000000,-10.000000,0.000000,0.015835,-0.005308,0.001033,0.016732,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,15.000000,38.000000,44.000000,15.000000,0.000000,0.009942,0.011017,0.002039,0.014979,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-15.000000,45.000000,51.000000,-15.000000,0.000000,0.018933,0.000583,0.004091,0.019379,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,30.000000,52.000000,56.000000,30.000000,0.000000,-0.002483,0.004821,0.004308,0.006926,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-30.000000,57.000000,61.000000,-30.000000,0.000000,-0.004998,0.002298,-0.010436,0.011797,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,45.000000,62.000000,66.000000,45.000000,0.000000,-0.002075,0.001171,-0.000257,0.002397,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-45.000000,67.000000,71.000000,-45.000000,0.000000,0.004840,-0.002916,-0.002442,0.006155,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,905.000000,9.000000,72.000000,0.000000,0.000000,0.037613,0.008059,0.009772,0.039689,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,60.000000,73.000000,77.000000,60.000000,0.000000,0.004631,-0.004675,-0.004125,0.007767,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-60.000000,78.000000,82.000000,-60.000000,0.000000,-0.030361,-0.006944,0.016799,0.035387,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,90.000000,83.000000,87.000000,90.000000,0.000000,-0.007533,0.011696,-0.005842,0.015088,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,-90.000000,88.000000,92.000000,-90.000000,0.000000,0.001214,-0.008037,0.009896,0.012806,0.050,1.000000
1.0,2026082404.000000,26.000000,1.000000,911.000000,1.000000,93.000000,0.000000,0.000000,0.035156,0.033230,0.014069,0.050380,0.050,0.000000
