schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082404.000000,26.000000,2.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.041630,844.080980,-302.462713,0.000229,-0.002500,0.002510,30.151333,0.004726,0.000000,0.000000,0.075667,0.075667,4.996000,4.000229,3.921834,3.926833
1.0,2026082404.000000,26.000000,2.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.097814,844.052355,-302.461380,-0.004915,0.001252,0.005072,30.130791,0.005230,0.000000,0.000000,0.065396,0.065396,4.998500,3.995085,3.935856,3.933353
1.0,2026082404.000000,26.000000,2.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.152857,844.039434,-302.465047,-0.000444,0.000002,0.000444,30.147997,0.004339,0.000000,0.000000,0.073998,0.073998,5.004334,3.999556,3.926004,3.925999
1.0,2026082404.000000,26.000000,2.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.172568,844.058612,-302.457047,0.000919,0.000834,0.001241,30.143288,0.001977,0.000000,0.000000,0.071644,0.071644,4.998500,4.000919,3.929189,3.927522
1.0,2026082404.000000,26.000000,2.000000,5.000000,100.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.217822,844.101097,-302.456547,0.009556,-0.004583,0.010598,30.133849,0.010623,0.000003,0.000000,0.066927,0.066927,4.997667,4.009556,3.928493,3.937659
1.0,2026082404.000000,26.000000,2.000000,6.000000,100.000000,6.000000,0.000000,4.0,1.000000,0.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.167232,844.147733,-302.454381,0.001752,-0.002916,0.003402,30.199121,0.003894,0.000000,0.000000,0.099561,0.099561,5.001833,4.001752,3.897523,3.903356
1.0,2026082404.000000,26.000000,2.000000,7.000000,100.000000,7.000000,0.000000,4.0,1.000000,0.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.118860,844.125348,-302.456379,-0.006456,-0.011666,0.013333,30.304597,0.012928,0.000005,0.000004,0.152299,0.152300,5.002666,3.993544,3.836035,3.859368
1.0,2026082404.000000,26.000000,2.000000,8.000000,100.000000,8.000000,0.000000,4.0,1.000000,0.000000,315.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.056315,844.126023,-302.458380,0.000085,-0.000416,0.000425,30.202455,0.001564,0.000000,0.000000,0.101227,0.101227,4.998500,4.000085,3.898356,3.899189
1.0,2026082404.000000,26.000000,2.000000,9.000000,100.000000,9.000000,1.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.036066,844.072275,-302.463713,-0.004771,-0.000416,0.004789,30.132167,0.004729,0.000000,0.000000,0.066084,0.066084,5.000167,3.995229,3.933500,3.934333
1.0,2026082404.000000,26.000000,2.000000,10.000000,5.000000,1.000000,0.000000,4.0,1.000000,5.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.083209,844.056500,-302.444770,-0.000067,-0.002486,0.002486,30.132998,0.004156,0.000000,0.000000,0.066499,0.066499,4.996841,3.999933,3.931015,3.935987
1.0,2026082404.000000,26.000000,2.000000,11.000000,5.000000,2.000000,0.000000,4.0,1.000000,5.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.112336,844.019559,-302.451333,-0.000998,-0.002901,0.003068,30.195788,0.005325,0.000000,0.000000,0.097894,0.097894,4.996008,3.999002,3.899205,3.905007
1.0,2026082404.000000,26.000000,2.000000,12.000000,5.000000,3.000000,0.000000,4.0,1.000000,5.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.152241,844.052509,-302.457116,-0.001895,0.003148,0.003674,30.157167,0.004618,0.000000,0.000000,0.078584,0.078584,4.999354,3.998105,3.924565,3.918268
1.0,2026082404.000000,26.000000,2.000000,13.000000,5.000000,4.000000,0.000000,4.0,1.000000,5.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.182779,844.092794,-302.458936,0.001648,0.010848,0.010973,30.157566,0.011108,0.000003,0.000003,0.078783,0.078783,4.999355,4.001648,3.932065,3.910369
1.0,2026082404.000000,26.000000,2.000000,14.000000,5.000000,5.000000,0.000000,4.0,1.000000,5.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.129050,844.142693,-302.458694,-0.002666,-0.013734,0.013991,30.162455,0.013814,0.000005,0.000005,0.081227,0.081227,5.001012,3.997334,3.905038,3.932507
