schema_version,campaign_id,stage_mode,attempt_id,global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,pre_raw_count,pre_mux_count,pre_gated_count,post_raw_count,post_mux_count,post_gated_count,ready_raw_count,ready_mux_count,ready_gated_count,probe_result,travel_mm,raw_delta,mux_delta,gated_delta,repeat_raw_delta,repeat_mux_delta,repeat_gated_delta,extra_raw_minus_gated_delta,burst_flag,consistency_fault,release_fault,terminal_failure
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,1.000000,1.000000,2.000000,2.000000,0.000000,3.000000,3.000000,1.000000,3.000000,3.000000,1.000000,1.000000,3.275997,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,1.000000,2.000000,3.000000,3.000000,1.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,1.000000,4.317538,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,1.000000,3.000000,4.000000,4.000000,2.000000,5.000000,5.000000,3.000000,5.000000,5.000000,3.000000,1.000000,3.291834,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,1.000000,4.000000,5.000000,5.000000,3.000000,6.000000,6.000000,4.000000,6.000000,6.000000,4.000000,1.000000,4.622670,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,2.000000,1.000000,6.000000,6.000000,4.000000,7.000000,7.000000,5.000000,7.000000,7.000000,5.000000,1.000000,4.985168,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,2.000000,2.000000,7.000000,7.000000,5.000000,8.000000,8.000000,6.000000,8.000000,8.000000,6.000000,1.000000,3.988996,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,2.000000,3.000000,8.000000,8.000000,6.000000,9.000000,9.000000,7.000000,9.000000,9.000000,7.000000,1.000000,3.952667,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,1.000000,0.000065,0.000062,1.000000,2.000000,4.000000,9.000000,9.000000,7.000000,10.000000,10.000000,8.000000,10.000000,10.000000,8.000000,1.000000,3.947670,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,1.000000,1.000000,10.000000,10.000000,8.000000,11.000000,11.000000,9.000000,11.000000,11.000000,9.000000,1.000000,4.999333,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,1.000000,2.000000,11.000000,11.000000,9.000000,12.000000,12.000000,10.000000,12.000000,12.000000,10.000000,1.000000,4.026239,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,1.000000,3.000000,12.000000,12.000000,10.000000,13.000000,13.000000,11.000000,13.000000,13.000000,11.000000,1.000000,3.885023,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,1.000000,4.000000,13.000000,13.000000,11.000000,14.000000,14.000000,12.000000,14.000000,14.000000,12.000000,1.000000,4.006689,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,2.000000,1.000000,14.000000,14.000000,12.000000,15.000000,15.000000,13.000000,15.000000,15.000000,13.000000,1.000000,4.999334,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,2.000000,2.000000,15.000000,15.000000,13.000000,16.000000,16.000000,14.000000,16.000000,16.000000,14.000000,1.000000,4.002745,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,2.000000,3.000000,16.000000,16.000000,14.000000,17.000000,17.000000,15.000000,17.000000,17.000000,15.000000,1.000000,3.947523,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,2.000000,0.000000,45.000000,1.000000,2.000000,4.000000,17.000000,17.000000,15.000000,18.000000,18.000000,16.000000,18.000000,18.000000,16.000000,1.000000,3.947522,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,3.000000,0.000000,90.000000,1.000000,1.000000,1.000000,18.000000,18.000000,16.000000,19.000000,19.000000,17.000000,19.000000,19.000000,17.000000,1.000000,4.996834,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082404.000000,27.000000,3.000000,3.000000,0.000000,90.000000,1.000000,1.000000,2.000000,19.000000,19.000000,17.000000,20.000000,20.000000,18.000000,20.000000,20.000000,18.000000,1.000000,3.980549,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
