schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082404.000000,29.000000,5.000000,1.000000,100.000000,1.000000,0.000000,4.0,1.000000,-0.000010,0.000320,4.000000,229.407000,0.154742,6.000000,17.845258,1025.079456,844.114418,-302.508115,-0.006500,0.012083,0.013721,30.130500,0.022766,0.000005,0.000004,0.065251,0.065251,4.981833,3.993500,3.946833,3.922667
1.0,2026082404.000000,29.000000,5.000000,2.000000,100.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.140159,844.091466,-302.506777,0.011752,0.000833,0.011782,30.134955,0.009689,0.000004,0.000000,0.067481,0.067481,4.997662,4.011752,3.933356,3.931689
1.0,2026082404.000000,29.000000,5.000000,3.000000,100.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.180978,844.050579,-302.503777,-0.019097,0.002921,0.019319,30.157167,0.019473,0.000010,0.000000,0.078594,0.078594,4.998500,3.980903,3.924337,3.918496
1.0,2026082404.000000,29.000000,5.000000,4.000000,100.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.214350,844.087905,-302.499110,0.000759,-0.000003,0.000759,30.143295,0.001710,0.000000,0.000000,0.071648,0.071648,4.998500,4.000759,3.928349,3.928356
1.0,2026082404.000000,29.000000,5.000000,5.000000,100.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.280400,844.115808,-302.500277,-0.004931,-0.002073,0.005349,30.155504,0.005294,0.000000,0.000000,0.077752,0.077752,5.000167,3.995069,3.920175,3.924322
1.0,2026082404.000000,29.000000,5.000000,6.000000,100.000000,6.000000,0.000000,4.0,1.000000,0.000000,225.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.234780,844.169204,-302.494778,0.020919,-0.002083,0.021022,30.229121,0.021108,0.000012,0.000000,0.114573,0.114573,5.001000,4.020919,3.883356,3.887523
1.0,2026082404.000000,29.000000,5.000000,7.000000,100.000000,7.000000,0.000000,4.0,1.000000,0.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.185516,844.158406,-302.494276,-0.003653,0.003739,0.005227,30.328881,0.004754,0.000000,0.000000,0.164441,0.164441,5.000166,3.996347,3.839298,3.831821
1.0,2026082404.000000,29.000000,5.000000,8.000000,100.000000,8.000000,0.000000,4.0,1.000000,0.000000,315.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.112734,844.175725,-302.497943,0.005245,-0.001250,0.005392,30.229121,0.005544,0.000000,0.000000,0.114561,0.114561,5.001000,4.005245,3.884190,3.886689
1.0,2026082404.000000,29.000000,5.000000,9.000000,100.000000,9.000000,1.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.078455,844.109928,-302.507443,0.003563,-0.007082,0.007928,30.132168,0.008019,0.000002,0.000001,0.066085,0.066085,5.001000,4.003563,3.926834,3.940998
1.0,2026082404.000000,29.000000,5.000000,72.000000,500.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.071540,844.121593,-302.509443,0.001896,0.004167,0.004578,30.139667,0.004712,0.000000,0.000000,0.069833,0.069833,5.001000,4.001896,3.934334,3.926000
1.0,2026082404.000000,29.000000,5.000000,93.000000,200.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.079816,844.116971,-302.508106,0.001896,-0.002500,0.003137,30.149667,0.002633,0.000000,0.000000,0.074833,0.074833,4.999329,4.001896,3.922667,3.927667
1.0,2026082404.000000,29.000000,5.000000,94.000000,200.000000,2.000000,0.000000,4.0,1.000000,0.000000,45.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.138747,844.090515,-302.507607,0.000085,0.000833,0.000838,30.141621,0.000863,0.000000,0.000000,0.070811,0.070811,5.000167,4.000085,3.930023,3.928356
1.0,2026082404.000000,29.000000,5.000000,95.000000,200.000000,3.000000,0.000000,4.0,1.000000,0.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.182097,844.070266,-302.507107,-0.001597,0.003330,0.003693,30.156334,0.003743,0.000000,0.000000,0.078167,0.078167,5.000167,3.998403,3.925163,3.918504
1.0,2026082404.000000,29.000000,5.000000,96.000000,200.000000,4.000000,0.000000,4.0,1.000000,0.000000,135.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.215806,844.080805,-302.501608,-0.008727,0.000834,0.008767,30.143266,0.009166,0.000002,0.000000,0.071635,0.071636,4.997667,3.991273,3.929200,3.927533
1.0,2026082404.000000,29.000000,5.000000,97.000000,200.000000,5.000000,0.000000,4.0,1.000000,0.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1025.269836,844.116626,-302.500275,0.009909,0.000417,0.009918,30.162152,0.009939,0.000003,0.000000,0.081079,0.081078,4.997667,4.009909,3.919341,3.918507
