campaign_id,attempt_id,fit_revision,sample_seq,abs_b_deg,abs_c_deg,pose_multiplicity,fit_weight,primary_lambda,primary_term_count,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,current_residual_x_mm,current_residual_y_mm,current_residual_z_mm,current_residual_norm_mm,candidate_delta_x_mm,candidate_delta_y_mm,candidate_delta_z_mm,candidate_delta_norm_mm,candidate_center_x_mm,candidate_center_y_mm,candidate_center_z_mm,candidate_residual_x_mm,candidate_residual_y_mm,candidate_residual_z_mm,candidate_residual_norm_mm
2026082404,1,r2,1,0.000000,0.000000,5,0.200000000,10.0,10,1024.996367000,844.034833000,-302.503949000,-0.095765841,-0.026234416,-0.058615224,0.115304316,0.000000000,0.000000000,0.000000000,0.000000000,1024.996367000,844.034833000,-302.503949000,-0.129773343,-0.023315909,-0.028360971,0.134866960
2026082404,1,r2,2,0.000000,45.000000,2,0.500000000,10.0,10,1025.067910000,844.038028000,-302.497611000,-0.024222841,-0.023039416,-0.052277224,0.062052146,0.005986774,-0.022343859,-0.004985612,0.023663174,1025.073896774,844.015684141,-302.502596612,-0.052243570,-0.042464767,-0.027008583,0.072540406
2026082404,1,r2,3,0.000000,90.000000,2,0.500000000,10.0,10,1025.110792000,844.092228000,-302.485445000,0.018659159,0.031160584,-0.040111224,0.054111519,0.020452497,-0.076332885,-0.017032248,0.080840036,1025.131244497,844.015895115,-302.502477248,0.005104154,-0.042253794,-0.026889219,0.050343476
2026082404,1,r2,4,0.000000,135.000000,2,0.500000000,10.0,10,1025.116993000,844.181488000,-302.468269000,0.024860159,0.120420584,-0.022935224,0.125080650,0.034923346,-0.130341040,-0.029083152,0.138037156,1025.151916346,844.051146960,-302.497352152,0.025776003,-0.007001948,-0.021764123,0.034454414
2026082404,1,r2,5,0.000000,180.000000,2,0.500000000,10.0,10,1025.158522000,844.241469000,-302.461936000,0.066389159,0.180401584,-0.016602224,0.192945292,0.040922493,-0.152731079,-0.034079068,0.161749237,1025.199444493,844.088737921,-302.496015068,0.073304150,0.030589013,-0.020427039,0.082014938
2026082404,1,r2,6,0.000000,225.000000,2,0.500000000,10.0,10,1025.104677000,844.266559000,-302.464769000,0.012544159,0.205491584,-0.019435224,0.206789446,0.034935720,-0.130387220,-0.029093456,0.138086063,1025.139612720,844.136171780,-302.493862456,0.013472376,0.078022871,-0.018274427,0.081259018
2026082404,1,r2,7,0.000000,270.000000,2,0.500000000,10.0,10,1025.060522000,844.183104000,-302.478433000,-0.031610841,0.122036584,-0.033099224,0.130336993,0.020469996,-0.076398194,-0.017046820,0.080909201,1025.080991996,844.106705806,-302.495479820,-0.045148347,0.048556898,-0.019891791,0.069223038
2026082404,1,r2,8,0.000000,315.000000,2,0.500000000,10.0,10,1025.009759000,844.129539000,-302.493766000,-0.082373841,0.068471584,-0.048432224,0.117556317,0.005999147,-0.022390039,-0.004995916,0.023712081,1025.015758147,844.107148961,-302.498761916,-0.110382196,0.049000053,-0.023173887,0.122972613
2026082404,1,r2,9,0.000000,0.000000,5,0.200000000,10.0,10,1025.006139000,844.037862000,-302.506600000,-0.085993841,-0.023205416,-0.061266224,0.108106346,0.000000000,0.000000000,0.000000000,0.000000000,1025.006139000,844.037862000,-302.506600000,-0.120001343,-0.020286909,-0.031011971,0.125593087
2026082404,1,r2,10,5.000000,0.000000,2,0.500000000,10.0,10,1025.058167000,844.020837000,-302.489757000,-0.033965841,-0.040230416,-0.044423224,0.068888225,-0.000585313,0.001982307,0.004699234,0.005133705,1025.057581687,844.022819307,-302.485057766,-0.068558657,-0.035329601,-0.009469737,0.077705508
