schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082404.000000,23.000000,1.000000,100.000000,1.000000,9.000000,0.000000,0.000000,0.009772,0.003029,-0.002651,0.010568,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,5.000000,10.000000,16.000000,5.000000,0.000000,-0.005862,0.000885,0.001387,0.006088,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-5.000000,17.000000,23.000000,-5.000000,0.000000,0.000880,0.002999,0.000563,0.003176,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,10.000000,24.000000,30.000000,10.000000,0.000000,-0.003098,0.000312,0.005855,0.006632,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-10.000000,31.000000,37.000000,-10.000000,0.000000,0.024046,-0.002254,0.003078,0.024347,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,15.000000,38.000000,44.000000,15.000000,0.000000,0.007759,0.005173,-0.000731,0.009353,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-15.000000,45.000000,51.000000,-15.000000,0.000000,-0.005211,0.005730,-0.001373,0.007866,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,30.000000,52.000000,56.000000,30.000000,0.000000,0.015290,-0.004743,-0.005106,0.016803,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-30.000000,57.000000,61.000000,-30.000000,0.000000,-0.003231,-0.005879,-0.008825,0.011085,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,45.000000,62.000000,66.000000,45.000000,0.000000,0.001075,0.002730,0.000980,0.003094,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-45.000000,67.000000,71.000000,-45.000000,0.000000,0.003755,-0.000632,-0.001047,0.003950,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,905.000000,9.000000,72.000000,0.000000,0.000000,0.021361,0.016410,0.003107,0.027115,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,60.000000,73.000000,77.000000,60.000000,0.000000,0.005648,0.000961,-0.011931,0.013235,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-60.000000,78.000000,82.000000,-60.000000,0.000000,-0.002410,-0.000952,0.002034,0.003294,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,90.000000,83.000000,87.000000,90.000000,0.000000,-0.009650,0.007728,-0.006723,0.014073,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,-90.000000,88.000000,92.000000,-90.000000,0.000000,0.002224,-0.000816,-0.005944,0.006399,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,911.000000,1.000000,93.000000,0.000000,0.000000,0.018555,0.013029,0.000625,0.022681,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,906.000000,72.000000,93.000000,0.000000,0.000000,-0.012578,-0.006410,0.000170,0.014118,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,912.000000,2.000000,94.000000,0.000000,45.000000,-0.001514,0.017705,0.002287,0.017916,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,913.000000,3.000000,95.000000,0.000000,90.000000,-0.006440,0.011612,0.004787,0.014115,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,914.000000,4.000000,96.000000,0.000000,135.000000,-0.001465,-0.005767,0.004778,0.007631,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,915.000000,5.000000,97.000000,0.000000,180.000000,0.002998,-0.006191,0.004778,0.008376,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,916.000000,6.000000,98.000000,0.000000,225.000000,0.015130,0.001782,0.004778,0.015966,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,917.000000,7.000000,99.000000,0.000000,270.000000,0.015547,0.014603,0.006442,0.022281,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,918.000000,8.000000,100.000000,0.000000,315.000000,0.014205,0.015364,0.003108,0.021154,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,919.000000,9.000000,101.000000,0.000000,0.000000,0.001781,0.017887,0.004775,0.018599,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,200.000000,93.000000,101.000000,0.000000,0.000000,-0.007002,0.007886,0.001498,0.010652,0.050,1.000000
1.0,2026082404.000000,23.000000,1.000000,900.000000,1.000000,101.000000,0.000000,0.000000,0.011552,0.020916,0.002123,0.023988,0.050,1.000000
