schema_version,campaign_id,attempt_id,phase_id,pass_id,twp_mode,b_deg,c_deg,center_x,center_y,center_z,v_diameter_mm,max_radial_residual_mm,cumulative_gated_edges
1,2026090103.000000,1.000000,0.000000,1.000000,0.000000,-0.000010,-0.000023,0.265179,0.019886,-21.462925,30.163000,0.083461,4.000000
1,2026090103.000000,1.000000,0.000000,2.000000,0.000000,-0.000010,-0.000023,0.262681,0.025304,-21.460591,30.172167,0.088007,8.000000
1,2026090103.000000,1.000000,1.000000,1.000000,1.000000,5.000000,-0.000023,17.767007,0.008573,-20.714604,30.185500,0.092763,12.000000
1,2026090103.000000,1.000000,2.000000,1.000000,1.000000,-5.000000,-0.000023,-17.054886,0.023295,-20.670144,30.144667,0.073476,16.000000
1,2026090103.000000,1.000000,3.000000,1.000000,1.000000,15.000000,-0.000023,52.413052,-0.029180,-14.655732,30.174667,0.087552,20.000000
1,2026090103.000000,1.000000,4.000000,1.000000,1.000000,-15.000000,-0.000023,-51.603199,0.040519,-14.493773,30.154667,0.077925,24.000000
1,2026090103.000000,1.000000,5.000000,1.000000,1.000000,30.000000,-0.000023,100.984231,-0.108377,5.430041,30.168000,0.084425,28.000000
1,2026090103.000000,1.000000,6.000000,1.000000,1.000000,-30.000000,-0.000023,-100.005725,0.043282,5.722655,30.145500,0.073362,32.000000
1,2026090103.000000,1.000000,7.000000,1.000000,1.000000,5.000000,89.999977,-8.457595,26.964796,-23.002689,30.116516,0.058291,36.000000
1,2026090103.000000,1.000000,8.000000,1.000000,1.000000,-5.000000,89.999977,-43.296363,26.960209,-18.347509,30.083835,0.042106,40.000000
1,2026090103.000000,1.000000,9.000000,1.000000,1.000000,15.000000,89.999977,26.822898,26.973542,-21.510166,30.097557,0.048788,44.000000
1,2026090103.000000,1.000000,10.000000,1.000000,1.000000,-15.000000,89.999977,-76.970761,26.949303,-7.654088,30.080502,0.040256,48.000000
1,2026090103.000000,1.000000,11.000000,1.000000,1.000000,30.000000,89.999977,77.912288,27.000099,-7.941113,30.113834,0.056997,52.000000
1,2026090103.000000,1.000000,12.000000,1.000000,1.000000,-30.000000,89.999977,-122.702640,26.968501,18.912317,30.083832,0.041980,56.000000
1,2026090103.000000,1.000000,13.000000,1.000000,1.000000,5.000000,179.999977,18.364674,53.309153,-20.643325,30.181369,0.091846,60.000000
1,2026090103.000000,1.000000,14.000000,1.000000,1.000000,-5.000000,179.999977,-16.457584,53.281938,-20.666547,30.165291,0.082658,64.000000
1,2026090103.000000,1.000000,15.000000,1.000000,1.000000,15.000000,179.999977,52.917358,53.354460,-14.481711,30.197020,0.099415,68.000000
1,2026090103.000000,1.000000,16.000000,1.000000,1.000000,-15.000000,179.999977,-51.091841,53.266201,-14.592347,30.159667,0.080300,72.000000
1,2026090103.000000,1.000000,17.000000,1.000000,1.000000,30.000000,179.999977,101.399322,53.388140,5.705593,30.169801,0.086042,76.000000
1,2026090103.000000,1.000000,18.000000,1.000000,1.000000,-30.000000,179.999977,-99.526747,53.239753,5.526860,30.156333,0.078731,80.000000
1,2026090103.000000,1.000000,19.000000,1.000000,1.000000,5.000000,269.999977,44.608578,26.381493,-18.346250,30.260899,0.130524,84.000000
1,2026090103.000000,1.000000,20.000000,1.000000,1.000000,-5.000000,269.999977,9.776318,26.393846,-22.988821,30.235913,0.118176,88.000000
1,2026090103.000000,1.000000,21.000000,1.000000,1.000000,15.000000,269.999977,78.302379,26.343299,-7.669076,30.262309,0.131190,92.000000
1,2026090103.000000,1.000000,22.000000,1.000000,1.000000,-15.000000,269.999977,-25.494701,26.402031,-21.481408,30.222167,0.111089,96.000000
1,2026090103.000000,1.000000,23.000000,1.000000,1.000000,30.000000,269.999977,124.138887,26.312707,18.878968,30.282170,0.141089,100.000000
1,2026090103.000000,1.000000,24.000000,1.000000,1.000000,-30.000000,269.999977,-76.503161,26.415657,-7.884805,30.232499,0.116342,104.000000
1,2026090103.000000,1.000000,99.000000,1.000000,0.000000,0.000000,0.000000,0.318330,0.032989,-21.445258,30.180500,0.090332,108.000000
1,2026090103.000000,1.000000,99.000000,2.000000,0.000000,0.000000,0.000000,0.308329,0.030077,-21.445425,30.181333,0.090721,112.000000
