schema_version,campaign_id,attempt_id,pose_seq,reached_b_deg,reached_c_deg,euler_i_deg,euler_j_deg,euler_k_deg,tool_length_mm,probe_offset_mm,world_x,world_y,world_z,open_delta_x_mm,open_delta_y_mm,open_delta_z_mm,open_error_mm,v_diameter_mm,max_radial_residual_mm,cumulative_gated_edges
1,2026090103.000000,1.000000,1.000000,5.000000,-0.000023,90.000000,5.000000,-90.000000,229.407000,0.154742,878.250221,618.914956,-981.271348,-0.021713,0.004584,0.021811,0.031116,30.185500,0.092763,12.000000
1,2026090103.000000,1.000000,2.000000,-5.000000,-0.000023,-90.000000,5.000000,90.000000,229.407000,0.154742,878.474672,618.897038,-981.289806,0.202737,-0.013334,0.003352,0.203203,30.144667,0.073476,16.000000
1,2026090103.000000,1.000000,3.000000,15.000000,-0.000023,90.000000,15.000000,-90.000000,229.407000,0.154742,878.373621,618.925365,-981.259324,0.101686,0.014993,0.033834,0.108211,30.174667,0.087552,20.000000
1,2026090103.000000,1.000000,4.000000,-15.000000,-0.000023,-90.000000,15.000000,90.000000,229.407000,0.154742,878.415484,618.900371,-981.268666,0.143549,-0.010001,0.024492,0.145967,30.154667,0.077925,24.000000
1,2026090103.000000,1.000000,5.000000,30.000000,-0.000023,90.000000,30.000000,-90.000000,229.407000,0.154742,878.450766,618.927840,-981.233976,0.178831,0.017468,0.059183,0.189178,30.168000,0.084425,28.000000
1,2026090103.000000,1.000000,6.000000,-30.000000,-0.000023,-90.000000,30.000000,90.000000,229.407000,0.154742,878.414419,618.910782,-981.246688,0.142485,0.000410,0.046470,0.149872,30.145500,0.073362,32.000000
1,2026090103.000000,1.000000,7.000000,5.000000,89.999977,180.000000,5.000000,-90.000000,229.407000,0.154742,878.400397,618.881155,-981.263981,0.128462,-0.029217,0.029177,0.134935,30.116516,0.058291,36.000000
1,2026090103.000000,1.000000,8.000000,-5.000000,89.999977,0.000000,5.000000,90.000000,229.407000,0.154742,878.422350,618.989814,-981.288876,0.150416,0.079442,0.004282,0.170160,30.083835,0.042106,40.000000
1,2026090103.000000,1.000000,9.000000,15.000000,89.999977,180.000000,15.000000,-90.000000,229.407000,0.154742,878.379663,618.944027,-981.233298,0.107729,0.033655,0.059860,0.127755,30.097557,0.048788,44.000000
1,2026090103.000000,1.000000,10.000000,-15.000000,89.999977,0.000000,15.000000,90.000000,229.407000,0.154742,878.454017,618.920707,-981.283641,0.182083,0.010334,0.009517,0.182624,30.080502,0.040256,48.000000
1,2026090103.000000,1.000000,11.000000,30.000000,89.999977,180.000000,30.000000,-90.000000,229.407000,0.154742,878.344874,619.010698,-981.230051,0.072940,0.100326,0.063108,0.139169,30.113834,0.056997,52.000000
1,2026090103.000000,1.000000,12.000000,-30.000000,89.999977,0.000000,30.000000,90.000000,229.407000,0.154742,878.464008,618.847487,-981.277646,0.192073,-0.062885,0.015512,0.202700,30.083832,0.041980,56.000000
1,2026090103.000000,1.000000,13.000000,5.000000,179.999977,-90.000000,5.000000,-90.000000,229.407000,0.154742,878.474842,618.908289,-981.271403,0.202908,-0.002083,0.021755,0.204081,30.181369,0.091846,60.000000
1,2026090103.000000,1.000000,14.000000,-5.000000,179.999977,90.000000,5.000000,90.000000,229.407000,0.154742,878.256175,618.910688,-981.263475,-0.015759,0.000316,0.029683,0.033609,30.165291,0.082658,64.000000
1,2026090103.000000,1.000000,15.000000,15.000000,179.999977,-90.000000,15.000000,-90.000000,229.407000,0.154742,878.442229,618.884834,-981.233978,0.170294,-0.025538,0.059180,0.182084,30.197020,0.099415,68.000000
1,2026090103.000000,1.000000,16.000000,-15.000000,179.999977,90.000000,15.000000,90.000000,229.407000,0.154742,878.409584,618.898922,-981.274097,0.137650,-0.011450,0.019061,0.139434,30.159667,0.080300,72.000000
1,2026090103.000000,1.000000,17.000000,30.000000,179.999977,-90.000000,30.000000,-90.000000,229.407000,0.154742,878.455802,618.882057,-981.209504,0.183867,-0.028315,0.083654,0.203977,30.169801,0.086042,76.000000
1,2026090103.000000,1.000000,18.000000,-30.000000,179.999977,90.000000,30.000000,90.000000,229.407000,0.154742,878.468586,618.884121,-981.239737,0.196652,-0.026251,0.053421,0.205463,30.156333,0.078731,80.000000
1,2026090103.000000,1.000000,19.000000,5.000000,269.999977,0.000000,5.000000,-90.000000,229.407000,0.154742,878.350702,618.960170,-981.271369,0.078767,0.049797,0.021789,0.095702,30.260899,0.130524,84.000000
1,2026090103.000000,1.000000,20.000000,-5.000000,269.999977,180.000000,5.000000,90.000000,229.407000,0.154742,878.330257,618.824891,-981.266555,0.058323,-0.085481,0.026603,0.106847,30.235913,0.118176,88.000000
1,2026090103.000000,1.000000,21.000000,15.000000,269.999977,0.000000,15.000000,-90.000000,229.407000,0.154742,878.363942,618.935367,-981.252116,0.092007,0.024995,0.041042,0.103801,30.262309,0.131190,92.000000
1,2026090103.000000,1.000000,22.000000,-15.000000,269.999977,180.000000,15.000000,90.000000,229.407000,0.154742,878.326521,618.903595,-981.258089,0.054587,-0.006777,0.035069,0.065234,30.222167,0.111089,96.000000
1,2026090103.000000,1.000000,23.000000,30.000000,269.999977,0.000000,30.000000,-90.000000,229.407000,0.154742,878.424260,618.895141,-981.243816,0.152325,-0.015231,0.049342,0.160840,30.282170,0.141089,100.000000
1,2026090103.000000,1.000000,24.000000,-30.000000,269.999977,180.000000,30.000000,90.000000,229.407000,0.154742,878.349358,618.984792,-981.274344,0.077423,0.074420,0.018815,0.109026,30.232499,0.116342,104.000000
